Rnd,Pick,Tm,Player,Pos,Age,To,-9999
1,1,KAN,Eric Fisher,T,22,2021,FishEr00
1,2,JAX,Luke Joeckel,T,21,2017,JoecLu00
1,3,MIA,Dion Jordan,DE,23,2020,JordDi00
1,4,PHI,Lane Johnson,T,23,2023,JohnLa01
1,5,DET,Ezekiel Ansah,DE,24,2020,AnsaEz00
1,6,CLE,Barkevious Mingo,LB,22,2020,MingBa00
1,7,ARI,Jonathan Cooper,G,23,2018,CoopJo01
1,8,STL,Tavon Austin,WR,23,2021,AustTa00
1,9,NYJ,Dee Milliner,DB,21,2015,MillDe00
1,10,TEN,Chance Warmack,G,21,2018,WarmCh00
1,11,SDG,D.J. Fluker,T,22,2020,FlukDJ00
1,12,OAK,D.J. Hayden,DB,23,2021,HaydDJ00
1,13,NYJ,Sheldon Richardson,DT,22,2021,RichSh00
1,14,CAR,Star Lotulelei,DT,23,2021,LotuSt00
1,15,NOR,Kenny Vaccaro,DB,22,2020,VaccKe00
1,16,BUF,EJ Manuel,QB,23,2017,ManuEJ00
1,17,PIT,Jarvis Jones,LB,23,2016,JoneJa05
1,18,SFO,Eric Reid,DB,21,2019,ReidEr00
1,19,NYG,Justin Pugh,T,23,2023,PughJu00
1,20,CHI,Kyle Long,G,24,2019,LongKy00
1,21,CIN,Tyler Eifert,TE,22,2020,EifeTy00
1,22,ATL,Desmond Trufant,DB,22,2021,TrufDe00
1,23,MIN,Sharrif Floyd,DT,21,2016,FloySh00
1,24,IND,Bjoern Werner,DE,23,2015,WernBj00
1,25,MIN,Xavier Rhodes,DB,23,2022,RhodXa00
1,26,GNB,Datone Jones,DE,23,2020,JoneDa03
1,27,HOU,DeAndre Hopkins,WR,21,2023,HopkDe00
1,28,DEN,Sylvester Williams,DT,24,2020,WillSy00
1,29,MIN,Cordarrelle Patterson,WR,22,2023,PattCo00
1,30,STL,Alec Ogletree,LB,21,2021,OgleAl00
1,31,DAL,Travis Frederick,C,22,2019,FredTr00
1,32,BAL,Matt Elam,DB,22,2016,ElamMa00
2,33,JAX,Johnathan Cyprien,DB,23,2020,CyprJo00
2,34,TEN,Justin Hunter,WR,22,2018,HuntJu00
2,35,PHI,Zach Ertz,TE,22,2023,ErtzZa00
2,36,DET,Darius Slay,DB,22,2023,SlayDa00
2,37,CIN,Giovani Bernard,RB,21,2022,BernGi00
2,38,SDG,Manti Te'o,LB,22,2020,TeoxMa00
2,39,NYJ,Geno Smith,QB,22,2023,SmitGe00
2,40,SFO,Tank Carradine,DE,23,2019,CarrCo00
2,41,BUF,Robert Woods,WR,21,2023,WoodRo02
2,42,OAK,Menelik Watson,T,24,2017,WatsMe00
2,43,TAM,Johnthan Banks,DB,23,2017,BankJo00
2,44,CAR,Kawann Short,DT,24,2020,ShorKa00
2,45,ARI,Kevin Minter,LB,22,2021,MintKe00
2,46,BUF,Kiko Alonso,LB,23,2019,AlonKi00
2,47,DAL,Gavin Escobar,TE,22,2017,EscoGa00
2,48,PIT,Le'Veon Bell,RB,21,2021,BellLe00
2,49,NYG,Johnathan Hankins,DT,21,2023,HankJo00
2,50,CHI,Jonathan Bostic,LB,22,2022,BostJo00
2,51,WAS,David Amerson,DB,21,2018,AmerDa00
2,52,NWE,Jamie Collins,LB,23,2022,CollJa00
2,53,CIN,Margus Hunt,DE,26,2021,HuntMa00
2,54,MIA,Jamar Taylor,DB,22,2020,TaylJa01
2,55,SFO,Vance McDonald,TE,23,2020,McDoVa00
2,56,BAL,Arthur Brown,LB,20,2016,BrowAr00
2,57,HOU,D.J. Swearinger,DB,22,2020,SweaDJ00
2,58,DEN,Montee Ball,RB,22,2014,BallMo00
2,59,NWE,Aaron Dobson,WR,22,2015,DobsAa00
2,60,ATL,Robert Alford,DB,24,2021,AlfoRo00
2,61,GNB,Eddie Lacy,RB,23,2017,LacyEd00
2,62,SEA,Christine Michael,RB,22,2018,MichCh00
3,63,KAN,Travis Kelce,TE,23,2023,KelcTr00
3,64,JAX,Dwayne Gratz,DB,23,2016,GratDw00
3,65,DET,Larry Warford,G,22,2019,WarfLa00
3,66,OAK,Sio Moore,LB,23,2016,MoorSi00
3,67,PHI,Bennie Logan,DT,23,2018,LogaBe00
3,68,CLE,Leon McFadden,DB,22,2016,McFaLe00
3,69,ARI,Tyrann Mathieu,DB,21,2023,MathTy00
3,70,TEN,Blidi Wreh-Wilson,DB,23,2021,WrehBl00
3,71,STL,T.J. McDonald,DB,22,2018,McDoTJ00
3,72,NYJ,Brian Winters,G,22,2021,WintBr00
3,73,TAM,Mike Glennon,QB,23,2021,GlenMi00
3,74,DAL,Terrance Williams,WR,23,2018,WillTe01
3,75,NOR,Terron Armstead,T,22,2023,ArmsTe00
3,76,SDG,Keenan Allen,WR,21,2023,AlleKe00
3,77,MIA,Dallas Thomas,T,23,2016,ThomDa04
3,78,BUF,Marquise Goodwin,WR,22,2023,GoodMa00
3,79,PIT,Markus Wheaton,WR,22,2018,WheaMa00
3,80,DAL,J.J. Wilcox,DB,22,2018,WilcJ.00
3,81,NYG,Damontre Moore,DE,20,2020,MoorDa01
3,82,NOR,John Jenkins,DT,24,2023,JenkJo00
3,83,NWE,Logan Ryan,DB,22,2022,RyanLo00
3,84,CIN,Shawn Williams,DB,22,2021,WillSh02
3,85,WAS,Jordan Reed,TE,23,2020,ReedJo02
3,86,IND,Hugh Thornton,G,22,2015,ThorHu00
3,87,SEA,Jordan Hill,DT,22,2016,HillJo01
3,88,SFO,Corey Lemonier,DE,21,2016,LemoCo00
3,89,HOU,Brennan Williams,OL,22,,WillBr03
3,90,DEN,Kayvon Webster,DB,22,2019,WebsKa00
3,91,NWE,Duron Harmon,DB,22,2023,HarmDu00
3,92,STL,Stedman Bailey,WR,22,2015,BailSt01
3,93,MIA,Will Davis,DB,23,2016,DaviWi02
3,94,BAL,Brandon Williams,DT,24,2022,WillBr02
3,95,HOU,Sam Montgomery,DE,23,,MontSa00
3,96,KAN,Knile Davis,RB,21,2016,DaviKn00
3,97,TEN,Zaviar Gooden,LB,23,2016,GoodZa00
