Rnd,Pick,Tm,Player,Pos,Age,To,-9999
1,1,IND,Andrew Luck,QB,22,2018,LuckAn00
1,2,WAS,Robert Griffin III,QB,22,2020,GrifRo01
1,3,CLE,Trent Richardson,RB,22,2014,RichTr00
1,4,MIN,Matt Kalil,T,23,2017,KaliMa00
1,5,JAX,Justin Blackmon,WR,22,2013,BlacJu00
1,6,DAL,Morris Claiborne,DB,22,2019,ClaiMo00
1,7,TAM,Mark Barron,DB,22,2019,BarrMa00
1,8,MIA,Ryan Tannehill,QB,24,2023,TannRy00
1,9,CAR,Luke Kuechly,LB,21,2019,KuecLu00
1,10,BUF,Stephon Gilmore,DB,21,2023,GilmSt00
1,11,KAN,Dontari Poe,DT,22,2020,PoexDo00
1,12,PHI,Fletcher Cox,DT,21,2023,CoxxFl00
1,13,ARI,Michael Floyd,WR,22,2018,FloyMi00
1,14,STL,Michael Brockers,DT,21,2022,BrocMi00
1,15,SEA,Bruce Irvin,DE,24,2022,IrviBr00
1,16,NYJ,Quinton Coples,DE,22,2015,CoplQu00
1,17,CIN,Dre Kirkpatrick,DB,22,2021,KirkDr00
1,18,SDG,Melvin Ingram,DE,23,2022,IngrMe00
1,19,CHI,Shea McClellin,DE,23,2016,McClSh00
1,20,TEN,Kendall Wright,WR,22,2017,WrigKe01
1,21,NWE,Chandler Jones,DE,22,2022,JoneCh03
1,22,CLE,Brandon Weeden,QB,28,2018,WeedBr00
1,23,DET,Riley Reiff,T,23,2023,ReifRi00
1,24,PIT,David DeCastro,G,22,2020,DeCaDa00
1,25,NWE,Dont'a Hightower,LB,22,2021,HighDo01
1,26,HOU,Whitney Mercilus,DE,22,2021,MercWh00
1,27,CIN,Kevin Zeitler,G,22,2023,ZeitKe00
1,28,GNB,Nick Perry,DE,22,2018,PerrNi00
1,29,MIN,Harrison Smith,DB,23,2023,SmitHa00
1,30,SFO,A.J. Jenkins,WR,22,2014,JenkA.00
1,31,TAM,Doug Martin,RB,23,2018,MartDo00
1,32,NYG,David Wilson,RB,21,2013,WilsDa01
2,33,STL,Brian Quick,WR,23,2018,QuicBr00
2,34,IND,Coby Fleener,TE,23,2017,FleeCo00
2,35,BAL,Courtney Upshaw,LB,22,2017,UpshCo00
2,36,DEN,Derek Wolfe,DT,22,2020,WolfDe00
2,37,CLE,Mitchell Schwartz,T,23,2020,SchwMi00
2,38,JAX,Andre Branch,LB,23,2018,BranAn00
2,39,STL,Jackrabbit Jenkins,DB,23,2022,JenkJa03
2,40,CAR,Amini Silatolu,G,23,2018,SilaAm00
2,41,BUF,Cordy Glenn,G,22,2019,GlenCo00
2,42,MIA,Jonathan Martin,T,22,2014,MartJo01
2,43,NYJ,Stephen Hill,WR,21,2013,HillSt00
2,44,KAN,Jeff Allen,T,22,2019,AlleJe01
2,45,CHI,Alshon Jeffery,WR,22,2020,JeffAl00
2,46,PHI,Mychal Kendricks,LB,21,2020,KendMy00
2,47,SEA,Bobby Wagner,LB,22,2023,WagnBo00
2,48,NWE,Tavon Wilson,DB,22,2021,WilsTa00
2,49,SDG,Kendall Reyes,DT,22,2016,ReyeKe00
2,50,STL,Isaiah Pead,RB,22,2016,PeadIs00
2,51,GNB,Jerel Worthy,DT,22,2018,WortJe00
2,52,TEN,Zach Brown,LB,22,2019,BrowZa00
2,53,CIN,Devon Still,DT,23,2016,StilDe00
2,54,DET,Ryan Broyles,WR,24,2014,BroyRy00
2,55,ATL,Peter Konz,C,23,2014,KonzPe00
2,56,PIT,Mike Adams,T,22,2016,AdamMi02
2,57,DEN,Brock Osweiler,QB,21,2018,OsweBr00
2,58,TAM,Lavonte David,LB,22,2023,DaviLa00
2,59,PHI,Vinny Curry,DE,24,2022,CurrVi00
2,60,BAL,Kelechi Osemele,T,23,2020,OsemKe00
2,61,SFO,LaMichael James,RB,22,2015,JameLa00
2,62,GNB,Casey Hayward,DB,22,2022,HaywCa00
2,63,NYG,Rueben Randle,WR,21,2015,RandRu00
3,64,IND,Dwayne Allen,TE,22,2018,AlleDw00
3,65,STL,Trumaine Johnson,DB,22,2019,JohnTr05
3,66,MIN,Josh Robinson,DB,21,2019,RobiJo01
3,67,DEN,Ronnie Hillman,RB,20,2016,HillRo00
3,68,HOU,DeVier Posey,WR,22,2014,PoseDe00
3,69,BUF,T.J. Graham,WR,23,2015,GrahT.00
3,70,JAX,Bryan Anger,P,23,2023,AngeBr00
3,71,WAS,Josh LeRibeus,G,23,2018,LeRiJo00
3,72,MIA,Olivier Vernon,LB,21,2020,VernOl00
3,73,SDG,Brandon Taylor,DB,22,2012,TaylBr02
3,74,KAN,Donald Stephenson,T,23,2017,StepDo00
3,75,SEA,Russell Wilson,QB,23,2023,WilsRu00
3,76,HOU,Brandon Brooks,G,23,2021,BrooBr00
3,77,NYJ,Demario Davis,LB,23,2023,DaviDe00
3,78,MIA,Michael Egnew,TE,22,2013,EgneMi00
3,79,CHI,Brandon Hardin,DB,22,,HardBr01
3,80,ARI,Jamell Fleming,DB,23,2015,FlemJa00
3,81,DAL,Tyrone Crawford,DE,22,2020,CrawTy00
3,82,TEN,Mike Martin,DT,22,2015,MartMi01
3,83,CIN,Mohamed Sanu,WR,23,2021,SanuMo00
3,84,BAL,Bernard Pierce,RB,21,2015,PierBe00
3,85,DET,Bill Bentley,DB,23,2015,BentBi00
3,86,PIT,Sean Spence,LB,22,2017,SpenSe00
3,87,CLE,John Hughes,DT,24,2017,HughJo00
3,88,PHI,Nick Foles,QB,23,2022,FoleNi00
3,89,NOR,Akiem Hicks,DE,22,2022,HickAk00
3,90,NWE,Jake Bequette,DE,23,2013,BequJa00
3,91,ATL,Lamar Holmes,T,23,2014,HolmLa00
3,92,IND,T.Y. Hilton,WR,22,2022,HiltT.00
3,93,CIN,Brandon Thompson,DT,22,2015,ThomBr01
3,94,NYG,Jayron Hosley,DB,21,2015,HoslJa00
3,95,OAK,Tony Bergstrom,T,26,2020,BergTo00
4,96,STL,Chris Givens,WR,22,2015,GiveCh00
4,97,MIA,Lamar Miller,RB,21,2020,MillLa01
4,98,BAL,Gino Gradkowski,G,23,2018,GradGi00
4,99,HOU,Ben Jones,C,23,2022,JoneBe01
4,100,CLE,Travis Benjamin,WR,22,2021,BenjTr00
4,101,DEN,Omar Bolden,DB,23,2015,BoldOm00
