Rnd,Pick,Tm,Player,Pos,Age,To,-9999
1,1,TAM,Jameis Winston,QB,21,2023,WinsJa00
1,2,TEN,Marcus Mariota,QB,21,2022,MariMa01
1,3,JAX,Dante Fowler,OLB,21,2023,FowlDa00
1,4,OAK,Amari Cooper,WR,21,2023,CoopAm00
1,5,WAS,Brandon Scherff,T,23,2023,ScheBr00
1,6,NYJ,Leonard Williams,DE,21,2023,WillLe02
1,7,CHI,Kevin White,WR,23,2022,WhitKe00
1,8,ATL,Vic Beasley,OLB,23,2020,BeasVi00
1,9,NYG,Ereck Flowers,T,21,2021,FlowEr00
1,10,STL,Todd Gurley,RB,21,2020,GurlTo01
1,11,MIN,Trae Waynes,CB,23,2021,WaynTr00
1,12,CLE,Danny Shelton,NT,22,2022,ShelDa01
1,13,NOR,Andrus Peat,T,21,2023,PeatAn00
1,14,MIA,DeVante Parker,WR,22,2023,ParkDe01
1,15,SDG,Melvin Gordon,RB,22,2023,GordMe00
1,16,HOU,Kevin Johnson,CB,23,2020,JohnKe04
1,17,SFO,Arik Armstead,DT,21,2023,ArmsAr01
1,18,KAN,Marcus Peters,CB,22,2023,PeteMa00
1,19,CLE,Cameron Erving,C,23,2023,ErviCa00
1,20,PHI,Nelson Agholor,WR,22,2023,AghoNe00
1,21,CIN,Cedric Ogbuehi,T,23,2022,OgbuCe00
1,22,PIT,Bud Dupree,OLB,22,2023,DuprAl00
1,23,DEN,Shane Ray,DE,22,2018,RayxSh00
1,24,ARI,D.J. Humphries,T,21,2023,HumpD.00
1,25,CAR,Shaq Thompson,OLB,21,2023,ThomSh01
1,26,BAL,Breshad Perriman,WR,21,2022,PerrBr02
1,27,DAL,Byron Jones,CB,22,2021,JoneBy00
1,28,DET,Laken Tomlinson,G,23,2023,TomlLa01
1,29,IND,Phillip Dorsett,WR,22,2023,DorsPh00
1,30,GNB,Damarious Randall,S,23,2020,RandDa00
1,31,NOR,Stephone Anthony,ILB,23,2019,AnthSt00
1,32,NWE,Malcom Brown,DT,21,2021,BrowMa01
2,33,NYG,Landon Collins,S,21,2022,CollLa00
2,34,TAM,Donovan Smith,T,22,2023,SmitDo02
2,35,OAK,Mario Edwards,DT,21,2023,EdwaMa01
2,36,JAX,T.J. Yeldon,RB,21,2020,YeldT.00
2,37,NYJ,Devin Smith,WR,23,2021,SmitDe04
2,38,WAS,Preston Smith,DE,22,2023,SmitPr00
2,39,CHI,Eddie Goldman,DT,21,2021,GoldEd00
2,40,TEN,Dorial Green-Beckham,WR,22,2016,GreeDo00
2,41,CAR,Devin Funchess,TE,21,2019,FuncDe00
2,42,ATL,Jalen Collins,CB,22,2016,CollJa02
2,43,HOU,Benardrick McKinney,ILB,22,2021,McKiBe00
2,44,NOR,Hau'oli Kikaha,OLB,23,2017,KikaHa00
2,45,MIN,Eric Kendricks,ILB,23,2023,KendEr00
2,46,SFO,Jaquiski Tartt,S,23,2021,TartJa00
2,47,PHI,Eric Rowe,CB,22,2022,RoweEr00
2,48,SDG,Denzel Perryman,ILB,22,2023,PerrDe00
2,49,KAN,Mitch Morse,G,23,2023,MorsMi00
2,50,BUF,Ronald Darby,CB,21,2023,DarbRo00
2,51,CLE,Nate Orchard,DE,22,2021,OrchNa00
2,52,MIA,Jordan Phillips,NT,22,2023,PhilJo01
2,53,CIN,Jake Fisher,T,22,2018,FishJa00
2,54,DET,Ameer Abdullah,RB,22,2023,AbduAm00
2,55,BAL,Maxx Williams,TE,21,2022,WillMa04
2,56,PIT,Senquez Golson,CB,22,,GolsSe00
2,57,STL,Rob Havenstein,T,23,2023,HaveRo00
2,58,ARI,Markus Golden,DE,24,2023,GoldMa00
2,59,DEN,Ty Sambrailo,T,23,2021,SambTy00
2,60,DAL,Randy Gregory,OLB,22,2023,GregRa00
2,61,TAM,Ali Marpet,C,22,2021,MarpAl00
2,62,GNB,Quinten Rollins,CB,23,2017,RollQu00
2,63,SEA,Frank Clark,DE,22,2023,ClarFr01
2,64,NWE,Jordan Richards,S,22,2021,RichJo00
3,65,IND,D'Joun Smith,CB,22,2016,SmitDJ00
3,66,TEN,Jeremiah Poutasi,G,21,2016,PoutJe00
3,67,JAX,A.J. Cann,G,23,2022,CannA.00
3,68,OAK,Clive Walford,TE,23,2019,WalfCl00
3,69,SEA,Tyler Lockett,WR,22,2023,LockTy00
3,70,HOU,Jaelen Strong,WR,21,2017,StroJa01
3,71,CHI,Hroniss Grasu,C,24,2022,GrasHr00
3,72,STL,Jamon Brown,T,22,2020,BrowJa04
3,73,ATL,Tevin Coleman,RB,22,2022,ColeTe01
3,74,NYG,Owamagbe Odighizuwa,DE,23,2016,OdigOw00
3,75,NOR,Garrett Grayson,QB,24,,GrayGa00
3,76,KAN,Chris Conley,WR,22,2023,ConlCh00
3,77,CLE,Duke Johnson,RB,21,2022,JohnDu00
