Rnd,Pick,Tm,Player,Pos,Age,To,-9999
1,1,CLE,Myles Garrett,DE,21,2023,GarrMy00
1,2,CHI,Mitchell Trubisky,QB,23,2023,TrubMi00
1,3,SFO,Solomon Thomas,DE,22,2023,ThomSo00
1,4,JAX,Leonard Fournette,RB,22,2022,FourLe00
1,5,TEN,Corey Davis,WR,22,2022,DaviCo03
1,6,NYJ,Jamal Adams,S,21,2023,AdamJa00
1,7,LAC,Mike Williams,WR,22,2023,WillMi07
1,8,CAR,Christian McCaffrey,RB,21,2023,McCaCh01
1,9,CIN,John Ross,WR,21,2021,RossJo00
1,10,KAN,Patrick Mahomes,QB,21,2023,MahoPa00
1,11,NOR,Marshon Lattimore,CB,21,2023,LattMa01
1,12,HOU,Deshaun Watson,QB,21,2023,WatsDe00
1,13,ARI,Haason Reddick,LB,22,2023,ReddHa00
1,14,PHI,Derek Barnett,DE,21,2023,BarnDe01
1,15,IND,Malik Hooker,S,21,2023,HookMa00
1,16,BAL,Marlon Humphrey,CB,21,2023,HumpMa00
1,17,WAS,Jonathan Allen,DE,22,2023,AlleJo01
1,18,TEN,Adoree' Jackson,CB,21,2023,JackAd00
1,19,TAM,O.J. Howard,TE,22,2022,HowaO.00
1,20,DEN,Garett Bolles,T,25,2023,BollGa00
1,21,DET,Jarrad Davis,LB,22,2022,DaviJa01
1,22,MIA,Charles Harris,OLB,22,2023,HarrCh03
1,23,NYG,Evan Engram,TE,23,2023,EngrEv00
1,24,OAK,Gareon Conley,CB,22,2019,ConlGa00
1,25,CLE,Jabrill Peppers,S,21,2023,PeppJa00
1,26,ATL,Takkarist McKinley,DE,21,2022,McKiTa00
1,27,BUF,Tre'Davious White,CB,22,2023,WhitTr01
1,28,DAL,Taco Charlton,DE,22,2022,CharTa00
1,29,CLE,David Njoku,TE,21,2023,NjokDa00
1,30,PIT,T.J. Watt,OLB,22,2023,WattT.00
1,31,SFO,Reuben Foster,LB,23,2018,FostRe00
1,32,NOR,Ryan Ramczyk,T,23,2023,RamcRy00
2,33,GNB,Kevin King,CB,22,2021,KingKe01
2,34,JAX,Cam Robinson,T,21,2023,RobiCa00
2,35,SEA,Malik McDowell,DT,21,2021,McDoMa00
