Rnd,Pick,Tm,Player,Pos,Age,To,-9999
1,1,CLE,Baker Mayfield,QB,23,2023,MayfBa00
1,2,NYG,Saquon Barkley,RB,21,2023,BarkSa00
1,3,NYJ,Sam Darnold,QB,21,2023,DarnSa00
1,4,CLE,Denzel Ward,CB,21,2023,WardDe02
1,5,DEN,Bradley Chubb,DE,22,2023,ChubBr00
1,6,IND,Quenton Nelson,G,22,2023,NelsQu00
1,7,BUF,Josh Allen,QB,22,2023,AlleJo02
1,8,CHI,Roquan Smith,ILB,21,2023,SmitRo07
1,9,SFO,Mike McGlinchey,T,23,2023,McGlMi00
1,10,ARI,Josh Rosen,QB,21,2021,RoseJo01
1,11,MIA,Minkah Fitzpatrick,S,21,2023,FitzMi00
1,12,TAM,Vita Vea,DT,23,2023,VeaxVi00
1,13,WAS,Daron Payne,DT,21,2023,PaynDa00
1,14,NOR,Marcus Davenport,DE,22,2023,DaveMa00
1,15,OAK,Kolton Miller,T,22,2023,MillKo00
1,16,BUF,Tremaine Edmunds,ILB,20,2023,EdmuTr01
1,17,LAC,Derwin James,S,22,2023,JameDe00
1,18,GNB,Jaire Alexander,CB,21,2023,AlexJa00
1,19,DAL,Leighton Vander Esch,OLB,22,2023,VandLe00
1,20,DET,Frank Ragnow,C,22,2023,RagnFr00
1,21,CIN,Billy Price,C,23,2022,PricBi01
1,22,TEN,Rashaan Evans,ILB,22,2022,EvanRa01
1,23,NWE,Isaiah Wynn,T,22,2023,WynnIs00
1,24,CAR,D.J. Moore,WR,21,2023,MoorD.00
1,25,BAL,Hayden Hurst,TE,25,2023,HursHa00
1,26,ATL,Calvin Ridley,WR,23,2023,RidlCa00
1,27,SEA,Rashaad Penny,RB,22,2023,PennRa00
1,28,PIT,Terrell Edmunds,S,21,2023,EdmuTe00
1,29,JAX,Taven Bryan,DT,22,2023,BryaTa00
1,30,MIN,Mike Hughes,CB,21,2023,HughMi00
1,31,NWE,Sony Michel,RB,23,2022,MichSo00
1,32,BAL,Lamar Jackson,QB,21,2023,JackLa00
2,33,CLE,Austin Corbett,C,23,2022,CorbAu00
2,34,NYG,Will Hernandez,G,23,2023,HernWi00
2,35,CLE,Nick Chubb,RB,22,2023,ChubNi00
2,36,IND,Shaquille Leonard,LB,23,2023,LeonDa00
2,37,IND,Braden Smith,G,22,2023,SmitBr06
2,38,TAM,Ronald Jones II,RB,21,2022,JoneRo01
2,39,CHI,James Daniels,C,20,2023,DaniJa01
2,40,DEN,Courtland Sutton,WR,22,2023,SuttCo00
2,41,TEN,Harold Landry,OLB,22,2023,LandHa00
2,42,MIA,Mike Gesicki,TE,22,2023,GesiMi00
2,43,DET,Kerryon Johnson,RB,21,2021,JohnKe06
2,44,SFO,Dante Pettis,WR,22,2022,PettDa00
2,45,GNB,Josh Jackson,CB,22,2022,JackJo01
2,46,KAN,Breeland Speaks,DE,22,2018,SpeaBr00
2,47,ARI,Christian Kirk,WR,21,2023,KirkCh01
2,48,LAC,Uchenna Nwosu,OLB,21,2023,NwosUc00
2,49,PHI,Dallas Goedert,TE,23,2023,GoedDa00
2,50,DAL,Connor Williams,T,21,2023,WillCo00
2,51,CHI,Anthony Miller,WR,23,2021,MillAn02
2,52,IND,Kemoko Turay,OLB,23,2022,TuraKe00
2,53,TAM,M.J. Stewart,CB,22,2023,StewM.00
2,54,CIN,Jessie Bates III,S,21,2023,BateJe00
2,55,CAR,Donte Jackson,CB,22,2023,JackDo02
2,56,NWE,Duke Dawson,CB,22,2020,DawsDu00
2,57,OAK,P.J. Hall,DT,23,2020,HallP.00
2,58,ATL,Isaiah Oliver,CB,21,2023,OlivIs00
2,59,WAS,Derrius Guice,RB,21,2019,GuicDe00
2,60,PIT,James Washington,WR,22,2022,WashJa00
2,61,JAX,DJ Chark,WR,21,2023,CharDJ00
2,62,MIN,Brian O'Neill,T,22,2023,ONeiBr00
2,63,TAM,Carlton Davis,CB,21,2023,DaviCa02
2,64,IND,Tyquan Lewis,DE,23,2023,LewiTy00
3,65,OAK,Brandon Parker,T,22,2021,ParkBr01
3,66,NYG,Lorenzo Carter,DE,22,2023,CartLo01
3,67,CLE,Chad Thomas,DE,22,2019,ThomCh06
3,68,HOU,Justin Reid,S,21,2023,ReidJu00
3,69,NYG,B.J. Hill,DT,23,2023,HillB.00
3,70,SFO,Fred Warner,OLB,21,2023,WarnFr00
3,71,DEN,Royce Freeman,RB,22,2023,FreeRo00
3,72,NYJ,Nathan Shepherd,DT,24,2023,ShepNa00
3,73,MIA,Jerome Baker,OLB,21,2023,BakeJe00
3,74,WAS,Geron Christian,T,21,2023,ChriGe01
3,75,KAN,Derrick Nnadi,DT,22,2023,NnadDe00
3,76,PIT,Mason Rudolph,QB,23,2021,RudoMa00
3,77,CIN,Sam Hubbard,DE,23,2023,HubbSa00
3,78,CIN,Malik Jefferson,OLB,21,2023,JeffMa00
3,79,SEA,Rasheem Green,DT,21,2023,GreeRa01
3,80,HOU,Martinas Rankin,T,23,2020,RankMa00
3,81,DAL,Michael Gallup,WR,22,2023,GallMi00
3,82,DET,Tracy Walker,S,23,2023,WalkTr01
3,83,BAL,Orlando Brown Jr.,T,22,2023,BrowOr00
3,84,LAC,Justin Jones,DT,22,2023,JoneJu03
3,85,CAR,Rashaan Gaulden,CB,23,2020,GaulRa00
3,86,BAL,Mark Andrews,TE,23,2023,AndrMa00
3,87,OAK,Arden Key,DE,22,2023,KeyxAr00
3,88,GNB,Oren Burks,ILB,23,2023,BurkOr00
3,89,LAR,Joseph Noteboom,T,23,2023,NoteJo00
3,90,ATL,Deadrin Senat,DT,24,2022,SenaDe00
3,91,NOR,Tre'Quan Smith,WR,22,2022,SmitTr03
3,92,PIT,Chukwuma Okorafor,T,21,2023,OkorCh00
3,93,JAX,Ronnie Harrison,S,21,2022,HarrRo02
3,94,TAM,Alex Cappa,T,23,2023,CappAl00
3,95,SFO,Tarvarius Moore,S,22,2022,MoorTa00
3,96,BUF,Harrison Phillips,DT,22,2023,PhilHa00
3,97,ARI,Mason Cole,C,22,2023,ColeMa02
3,98,HOU,Jordan Akins,TE,26,2023,AkinJo00
3,99,DEN,Isaac Yiadom,CB,22,2023,YiadIs00
3,100,KAN,Dorian O'Daniel,OLB,24,2021,ODanDo00
4,101,CAR,Ian Thomas,TE,22,2023,ThomIa00
4,102,MIN,Jalyn Holmes,DE,22,2022,HolmJa01
4,103,HOU,Keke Coutee,WR,21,2022,CoutKe00
4,104,IND,Nyheim Hines,RB,21,2022,HineNy00
4,105,CLE,Antonio Callaway,WR,21,2020,CallAn00
4,106,DEN,Josey Jewell,ILB,23,2023,JeweJo00
4,107,NYJ,Chris Herndon,TE,22,2021,HernCh00
4,108,NYG,Kyle Lauletta,QB,23,2018,LaulKy00
4,109,WAS,Troy Apke,S,23,2022,ApkeTr00
4,110,OAK,Nick Nelson,CB,21,2019,NelsNi00
4,111,LAR,Brian Allen,C,22,2023,AlleBr02
4,112,CIN,Mark Walton,RB,21,2019,WaltMa00
4,113,DEN,DaeSean Hamilton,WR,23,2020,HamiDa01
4,114,DET,Da'Shawn Hand,DE,22,2023,HandDa00
4,115,CHI,Joel Iyiegbuniwe,LB,22,2022,IyieJo00
4,116,DAL,Dorance Armstrong Jr.,DE,21,2023,ArmsDo00
4,117,TAM,Jordan Whitehead,S,21,2023,WhitJo03
4,118,BAL,Anthony Averett,CB,23,2022,AverAn00
4,119,LAC,Kyzir White,S,22,2023,WhitKy00
4,120,SEA,Will Dissly,TE,22,2023,DissWi00
4,121,BUF,Taron Johnson,CB,22,2023,JohnTa01
4,122,BAL,Kenny Young,LB,23,2022,YounKe03
4,123,MIA,Durham Smythe,TE,23,2023,SmytDu00
4,124,KAN,Armani Watts,S,22,2021,WattAr00
4,125,PHI,Avonte Maddox,CB,22,2023,MaddAv00
4,126,ATL,Ito Smith,RB,22,2021,SmitIt00
