Rnd,Pick,Tm,Player,Pos,Age,To,-9999
1,1,CIN,Joe Burrow,QB,23,2023,BurrJo01
1,2,WAS,Chase Young,DE,21,2023,YounCh04
1,3,DET,Jeff Okudah,CB,21,2023,OkudJe00
1,4,NYG,Andrew Thomas,T,21,2023,ThomAn02
1,5,MIA,Tua Tagovailoa,QB,22,2023,TagoTu00
1,6,LAC,Justin Herbert,QB,22,2023,HerbJu00
1,7,CAR,Derrick Brown,DT,22,2023,BrowDe05
1,8,ARI,Isaiah Simmons,LB,22,2023,SimmIs00
1,9,JAX,C.J. Henderson,CB,21,2023,HendCJ00
1,10,CLE,Jedrick Wills Jr.,T,21,2023,WillJe04
1,11,NYJ,Mekhi Becton,T,21,2023,BectMe00
1,12,LVR,Henry Ruggs III,WR,21,2021,RuggHe00
1,13,TAM,Tristan Wirfs,T,21,2023,WirfTr00
1,14,SFO,Javon Kinlaw,DT,22,2023,KinlJa00
1,15,DEN,Jerry Jeudy,WR,21,2023,JeudJe00
1,16,ATL,AJ Terrell,CB,21,2023,TerrAJ00
1,17,DAL,CeeDee Lamb,WR,21,2023,LambCe00
1,18,MIA,Austin Jackson,T,21,2023,JackAu00
1,19,LVR,Damon Arnette,CB,24,2021,ArneDa00
1,20,JAX,K'Lavon Chaisson,DE,21,2023,ChaiKL00
1,21,PHI,Jalen Reagor,WR,21,2023,ReagJa00
1,22,MIN,Justin Jefferson,WR,21,2023,JeffJu00
1,23,LAC,Kenneth Murray,LB,21,2023,MurrKe00
1,24,NOR,Cesar Ruiz,C,21,2023,RuizCe00
1,25,SFO,Brandon Aiyuk,WR,22,2023,AiyuBr00
1,26,GNB,Jordan Love,QB,21,2023,LoveJo03
1,27,SEA,Jordyn Brooks,LB,22,2023,BrooJo01
1,28,BAL,Patrick Queen,LB,21,2023,QueePa00
1,29,TEN,Isaiah Wilson,T,21,2020,WilsIs00
1,30,MIA,Noah Igbinoghene,CB,20,2023,IgbiNo00
1,31,MIN,Jeff Gladney,CB,23,2020,GladJe00
1,32,KAN,Clyde Edwards-Helaire,RB,21,2023,EdwaCl00
2,33,CIN,Tee Higgins,WR,21,2023,HiggTe00
2,34,IND,Michael Pittman Jr.,WR,22,2023,PittMi01
2,35,DET,D'Andre Swift,RB,21,2023,SwifDA00
2,36,NYG,Xavier McKinney,S,21,2023,McKiXa00
2,37,NWE,Kyle Dugger,S,24,2023,DuggKy00
2,38,CAR,Yetur Gross-Matos,DE,22,2023,GrosYe00
2,39,MIA,Robert Hunt,G,24,2023,HuntRo01
2,40,HOU,Ross Blacklock,DT,22,2023,BlacRo00
2,41,IND,Jonathan Taylor,RB,21,2023,TaylJo02
2,42,JAX,Laviska Shenault Jr.,WR,21,2023,ShenLa00
2,43,CHI,Cole Kmet,TE,21,2023,KmetCo00
2,44,CLE,Grant Delpit,S,21,2023,DelpGr00
2,45,TAM,Antoine Winfield Jr.,S,22,2023,WinfAn00
2,46,DEN,KJ Hamler,WR,21,2022,HamlKJ00
2,47,ATL,Marlon Davidson,DE,22,2021,DaviMa01
2,48,SEA,Darrell Taylor,DE,23,2023,TaylDa00
2,49,PIT,Chase Claypool,WR,22,2023,ClayCh01
2,50,CHI,Jaylon Johnson,CB,21,2023,JohnJa13
2,51,DAL,Trevon Diggs,CB,21,2023,DiggTr00
2,52,LAR,Cam Akers,RB,21,2023,AkerCa00
2,53,PHI,Jalen Hurts,QB,22,2023,HurtJa00
2,54,BUF,A.J. Epenesa,DE,21,2023,EpenAJ00
2,55,BAL,J.K. Dobbins,RB,21,2023,DobbJK00
2,56,MIA,Raekwon Davis,DT,23,2023,DaviRa03
2,57,LAR,Van Jefferson,WR,24,2023,JeffVa00
2,58,MIN,Ezra Cleveland,T,22,2023,ClevEz00
2,59,NYJ,Denzel Mims,WR,22,2022,MimsDe00
2,60,NWE,Josh Uche,LB,21,2023,UcheJo00
2,61,TEN,Kristian Fulton,CB,22,2023,FultKr00
2,62,GNB,AJ Dillon,RB,22,2023,DillAJ00
2,63,KAN,Willie Gay Jr.,LB,22,2023,GayJWi00
2,64,CAR,Jeremy Chinn,S,22,2023,ChinJe00
3,65,CIN,Logan Wilson,LB,24,2023,WilsLo00
3,66,WAS,Antonio Gibson,RB,22,2023,GibsAn00
3,67,DET,Julian Okwara,DE,22,2023,OkwaJu00
3,68,NYJ,Ashtyn Davis,S,23,2023,DaviAs00
3,69,SEA,Damien Lewis,G,23,2023,LewiDa05
3,70,MIA,Brandon Jones,S,22,2023,JoneBr06
3,71,BAL,Justin Madubuike,DT,22,2023,MaduJu00
3,72,ARI,Josh Jones,T,23,2023,JoneJo07
3,73,JAX,DaVon Hamilton,DT,23,2022,HamiDa02
3,74,NOR,Zack Baun,LB,23,2023,BaunZa00
3,75,DET,Jonah Jackson,G,23,2023,JackJo03
3,76,TAM,Ke'Shawn Vaughn,RB,23,2023,VaugKe00
3,77,DEN,Michael Ojemudia,CB,22,2022,OjemMi00
3,78,ATL,Matt Hennessy,C,22,2022,HennMa00
3,79,NYJ,Jabari Zuniga,DE,23,2022,ZuniJa00
3,80,LVR,Lynn Bowden Jr.,WR,22,2023,BowdLy00
3,81,LVR,Bryan Edwards,WR,21,2022,EdwaBr01
3,82,DAL,Neville Gallimore,DT,23,2023,GallNe00
3,83,DEN,Lloyd Cushenberry III,C,22,2023,CushLl00
3,84,LAR,Terrell Lewis,LB,22,2022,LewiTe00
3,85,IND,Julian Blackmon,S,22,2023,BlacJu01
3,86,BUF,Zack Moss,RB,22,2023,MossZa00
3,87,NWE,Anfernee Jennings,LB,23,2023,JennAn00
3,88,CLE,Jordan Elliott,DT,22,2023,ElliJo02
3,89,MIN,Cameron Dantzler,CB,22,2023,DantCa00
3,90,HOU,Jonathan Greenard,DE,23,2023,GreeJo04
3,91,NWE,Devin Asiasi,TE,23,2022,AsiaDe00
3,92,BAL,Devin Duvernay,WR,22,2023,DuveDe00
3,93,TEN,Darrynton Evans,RB,22,2023,EvanDa02
3,94,GNB,Josiah Deguara,TE,23,2023,DeguJo00
3,95,DEN,McTelvin Agim,DT,22,2021,AgimMc00
3,96,KAN,Lucas Niang,T,22,2023,NianLu00
3,97,CLE,Jacob Phillips,LB,21,2022,PhilJa01
3,98,BAL,Malik Harrison,LB,22,2023,HarrMa06
3,99,NYG,Matt Peart,T,23,2023,PearMa00
3,100,LVR,Tanner Muse,S,24,2023,MuseTa00
3,101,NWE,Dalton Keene,TE,21,2020,KeenDa00
3,102,PIT,Alex Highsmith,LB,23,2023,HighAl02
3,103,PHI,Davion Taylor,LB,22,2021,TaylDa01
3,104,LAR,Terrell Burgess,S,21,2023,BurgTe00
3,105,NOR,Adam Trautman,TE,23,2023,TrauAd00
3,106,BAL,Tyre Phillips,T,23,2023,PhilTy00
4,107,CIN,Akeem Davis-Gaither,LB,22,2023,DaviAk01
4,108,WAS,Saahdiq Charles,T,21,2023,CharSa00
4,109,LVR,John Simpson,G,23,2023,SimpJo00
4,110,NYG,Darnay Holmes,CB,22,2023,HolmDa01
4,111,MIA,Solomon Kindley,G,23,2021,KindSo00
4,112,LAC,Joshua Kelley,RB,22,2023,KellJo01
4,113,CAR,Troy Pride Jr.,CB,22,2023,PridTr00
4,114,ARI,Leki Fotu,DT,22,2023,FotuLe00
4,115,CLE,Harrison Bryant,TE,22,2023,BryaHa00
4,116,JAX,Ben Bartch,G,22,2023,BartBe00
4,117,MIN,D.J. Wonnum,DE,22,2023,WonnDJ00
4,118,DEN,Albert Okwuegbunam,TE,22,2022,OkwuAl00
4,119,ATL,Mykal Walker,LB,23,2022,WalkMy00
4,120,NYJ,La'Mical Perine,RB,22,2021,PeriLa00
4,121,DET,Logan Stenberg,G,23,2022,StenLo00
4,122,IND,Jacob Eason,QB,22,2022,EasoJa00
