Rnd,Pick,Tm,Player,Pos,Age,To,-9999
1,1,ARI,Kyler Murray,QB,22,2022,MurrKy00
1,2,SFO,Nick Bosa,DE,21,2023,BosaNi00
1,3,NYJ,Quinnen Williams,DT,21,2023,WillQu00
1,4,OAK,Clelin Ferrell,DE,22,2023,FerrCl00
1,5,TAM,Devin White,LB,21,2023,WhitDe02
1,6,NYG,Daniel Jones,QB,22,2023,JoneDa05
1,7,JAX,Josh Allen,LB,22,2023,AlleJo03
1,8,DET,T.J. Hockenson,TE,22,2023,HockTJ00
1,9,BUF,Ed Oliver,DT,21,2023,OlivEd00
1,10,PIT,Devin Bush Jr.,LB,21,2023,BushDe01
1,11,CIN,Jonah Williams,G,21,2023,WillJo10
1,12,GNB,Rashan Gary,LB,21,2023,GaryRa00
1,13,MIA,Christian Wilkins,DT,23,2023,WilkCh00
1,14,ATL,Chris Lindstrom,G,22,2023,LindCh00
1,15,WAS,Dwayne Haskins,QB,22,2020,HaskDw00
1,16,CAR,Brian Burns,DE,21,2023,BurnBr00
1,17,NYG,Dexter Lawrence,DT,21,2023,LawrDe03
1,18,MIN,Garrett Bradbury,C,24,2023,BradGa00
1,19,TEN,Jeffery Simmons,DT,22,2023,SimmJe01
1,20,DEN,Noah Fant,TE,21,2023,FantNo00
1,21,GNB,Darnell Savage Jr.,S,22,2023,SavaDa00
1,22,PHI,Andre Dillard,T,23,2023,DillAn00
1,23,HOU,Tytus Howard,T,23,2023,HowaTy00
1,24,OAK,Josh Jacobs,RB,21,2023,JacoJo01
1,25,BAL,Marquise Brown,WR,22,2023,BrowMa04
1,26,WAS,Montez Sweat,DE,23,2023,SweaMo00
1,27,OAK,Johnathan Abram,S,22,2023,AbraJo01
1,28,LAC,Jerry Tillery,DT,22,2023,TillJe00
1,29,SEA,L.J. Collier,DE,23,2023,CollLJ00
1,30,NYG,Deandre Baker,CB,22,2021,BakeDe00
1,31,ATL,Kaleb McGary,T,24,2023,McGaKa00
