player,player_id,position,player_game_count,percentage_games_played,grades_offense,raw_usage,usage_rate,raw_value_provided,year,draft_year,draft_team,draft_round,draft_pick,sum_raw_value_provided,expected_value,value_delta,team_name,Best_Match,Similarity_Score,round.x,pick.x,timestamp,team,playerid,full_name,name,associated_round,associated_pick,associated_team,count_text,mean_sentiment,comment_count,Team_Sentiment_Comment_Proportion,Team_Sentiment_Mean,offensive_word_count,pick.y,round.y,Direct_mentions,Indirect_mentions,avg_sentiment_direct_mentions,avg_sentiment_indirect_mentions,Direct_mention_binary
Antonio Gibson,78050,HB,14,0.88,80.9,206,14.71,70.79,2020,2020,WAS,3,66,197.69,149.23875,48.45125,WAS,Antonio Gibson,100,3,66,1587778920,WAS,GibsAn00,Antonio Gibson,A.Gibson,3,66,WAS,2206.0,0.106604201,7335.0,0.019698044,0.108911643,188.0,66.0,3.0,39.0,2167.0,0.087977143,0.106906729,1.0
Arlington Hambright,60003,OL,2,0.13,51.6,82,41.0,6.45,2020,2020,CHI,7,226,6.45,55.7338888888889,-49.2838888888889,CHI,Arlington Hambright,100,7,226,1587851340,CHI,HambAr00,Arlington Hambright,A.Hambright,7,226,CHI,350.0,0.108242319,12731.0,0.034188929,0.117120924,31.0,226.0,7.0,6.0,344.0,-0.090283333,0.111756047,1.0
Ashtyn Davis,49560,S,8,0.5,53.0,402,50.25,26.5,2020,2020,NYJ,3,68,90.67,132.52,-41.85,NYJ,Ashtyn Davis,100,3,68,1587779400,NYJ,DaviAs00,Ashtyn Davis,A.Davis,3,68,NYJ,834.0,0.131468599,14679.0,0.039420257,0.113141363,105.0,68.0,3.0,23.0,811.0,0.246172727,0.128337717,1.0
Austin Jackson,60816,OL,13,0.81,52.5,848,65.23,42.66,2020,2020,MIA,1,18,96.43,161.561785714286,-65.1317857142857,MIA,Austin Jackson,100,1,18,1587695280,MIA,JackAu00,Austin Jackson,A.Jackson,1,18,MIA,2720.0,0.093777811,14079.0,0.037808965,0.123932132,284.0,18.0,1.0,95.0,2625.0,0.173051087,0.090966268,1.0
Ben Bartch,84236,OL,5,0.31,58.5,219,43.8,18.28,2020,2020,JAX,4,116,87.21,71.4645833333333,15.7454166666667,JAX,Ben Bartch,100,4,116,1587832440,JAX,BartBe00,Ben Bartch,B.Bartch,4,116,JAX,854.0,0.170099643,6713.0,0.018027671,0.117975776,57.0,116.0,4.0,25.0,829.0,0.166516667,0.170204896,1.0
Ben Bredeson,27305,OL,5,0.31,47.4,48,9.6,14.81,2020,2020,BAL,4,143,74.64,71.4645833333333,3.17541666666668,BAL,Ben Bredeson,100,4,143,1587837480,BAL,BredBe00,Ben Bredeson,B.Bredeson,4,143,BAL,193.0,0.160979058,12762.0,0.034272179,0.109538109,15.0,143.0,4.0,6.0,187.0,0.00872,0.165072043,1.0
Ben DiNucci,34311,QB,2,0.13,25.6,52,26.0,3.2,2020,2020,DAL,7,231,3.2,47.22,-44.02,DAL,Ben DiNucci,100,7,231,1587852060,DAL,DiNuBe00,Ben DiNucci,B.DiNucci,7,231,DAL,343.0,0.136428869,13812.0,0.03709194,0.111480222,31.0,231.0,7.0,6.0,337.0,0.17635,0.13570303,1.0
Blake Brandel,46282,OL,11,0.65,53.3,65,5.91,34.49,2021,2020,MIN,6,203,54.01,53.2691304347826,0.740869565217395,MIN,Blake Brandel,100,6,203,1587847620,MIN,BranBl00,Blake Brandel,B.Brandel,6,203,MIN,717.0,0.14350227,21534.0,0.057829268,0.114465213,52.0,203.0,6.0,6.0,711.0,-0.07812,0.145085286,1.0
Braden Mann,44664,P,16,1.0,64.4,82,5.13,64.4,2020,2020,NYJ,6,191,174.79,121.71,53.08,NYJ,Braden Mann,100,6,191,1587845760,NYJ,MannBr01,Braden Mann,B.Mann,6,191,NYJ,502.0,0.126756768,14679.0,0.039420257,0.113141363,34.0,191.0,6.0,16.0,486.0,-0.0222,0.131732359,1.0
Bradlee Anae,43982,ED,3,0.19,85.2,6,2.0,15.98,2020,2020,DAL,5,179,23.96,72.9830769230769,-49.0230769230769,DAL,Bradlee Anae,100,5,179,1587843660,DAL,AnaeBr00,Bradlee Anae,B.Anae,5,179,DAL,248.0,0.13856748,13812.0,0.03709194,0.111480222,22.0,179.0,5.0,8.0,240.0,-0.100275,0.146595798,1.0
