"round.x","pick.x","timestamp","team","playerid","full_name","name","associated_round","associated_pick","associated_team","count_text","mean_sentiment","Count","Proportion","Mean","total_value_delta","row_count","pick.y","round.y","Direct_mentions","Indirect_mentions","avg_sentiment_direct_mentions","avg_sentiment_indirect_mentions","Direct_mention_binary","ID","player_id","position","player_game_count","percentage_games_played","grades_offense","raw_usage","usage_rate","raw_value_provided","year","draft_year","draft_team","draft_round","draft_pick","sum_raw_value_provided","expected_value","value_delta","team_name"
1,17,1587694740,"DAL","LambCe00","CeeDee Lamb","C.Lamb",1,17,"DAL",5835,0.0297272397721388,13812,0.03709194,0.111480222,34.4176474358975,753,17,1,485,5350,0.0306720833333333,0.0296418784114436,1,42,61570,"WR",16,1,71.6,539,33.69,71.6,2020,2020,"DAL",1,17,237.24,143.7833333,93.45666667,"DAL"
1,18,1587695280,"MIA","JackAu00","Austin Jackson","A.Jackson",1,18,"MIA",2720,0.0937778108711839,14079,0.037808965,0.123932132,-361.1980028972,284,18,1,95,2625,0.173051086956522,0.090966268311488,1,19,60816,"OL",13,0.81,52.5,848,65.23,42.66,2020,2020,"MIA",1,18,96.43,161.5617857,-65.13178571,"MIA"
1,19,1587695580,"LV","ArneDa00","Damon Arnette","D.Arnette",1,19,"LV",4580,0.0927793406593407,11083,0.029763248,0.107186085,-175.015906641604,402,19,1,87,4493,0.195081176470588,0.0908318253079507,1,63,28080,"CB",9,0.56,41.7,343,38.11,23.46,2020,2020,"LV",1,19,31.2,148.6714286,-117.4714286,"LV"
1,20,1587696060,"JAX","ChaiKL00","K'Lavon Chaisson","K.Chaisson",1,20,"JAX",2824,0.11145464617584,6713,0.018027671,0.117975776,-74.4143932140196,271,20,1,61,2763,0.0654948275862069,0.112427518248175,1,158,57945,"ED",16,1,49.6,569,35.56,49.6,2020,2020,"JAX",1,20,122.73,147.1052174,-24.37521739,"JAX"
1,21,1587696420,"PHI","ReagJa00","Jalen Reagor","J.Reagor",1,21,"PHI",4633,0.0938532187907786,35223,0.094590893,0.058375155,0.979119876898174,467,21,1,252,4381,0.175307171314741,0.0891499884978146,1,108,61697,"WR",11,0.69,64,321,29.18,44,2020,2020,"PHI",1,21,156.46,143.7833333,12.67666667,"PHI"
1,22,1587696900,"MIN","JeffJu00","Justin Jefferson","J.Jefferson",1,22,"MIN",3013,0.0853883378016086,21534,0.057829268,0.114465213,-107.72040452278,324,22,1,152,2861,0.121018666666667,0.0835024700070572,1,153,61398,"WR",16,1,90.4,563,35.19,90.4,2020,2020,"MIN",1,22,270.9,143.7833333,127.1166667,"MIN"
1,23,1587697200,"LAC","MurrKe00","Kenneth Murray","K.Murray",1,23,"LAC",4815,0.111254046121593,7817,0.020992448,0.13591072,-16.1283021189337,483,23,1,178,4637,0.140204571428571,0.11015146898803,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,24,1587697740,"NO","RuizCe00","Cesar Ruiz","C.Ruiz",1,24,"NO",3141,0.0762089743589744,6684,0.017949792,0.102622322,-20.479768907563,339,24,1,122,3019,0.074655737704918,0.0762721814543029,1,43,59857,"OL",14,0.88,58.6,744,53.14,51.28,2020,2020,"NO",1,24,155.49,161.5617857,-6.071785714,"NO"
1,25,1587698100,"SF","AiyuBr00","Brandon Aiyuk","B.Aiyuk",1,25,"SF",5075,0.0987331212723658,16341,0.043883536,0.113882776,55.8473650793651,472,25,1,144,4931,0.172192907801418,0.0966145223972183,1,26,84109,"WR",12,0.75,80.1,455,37.92,60.08,2020,2020,"SF",1,25,214.78,143.7833333,70.99666667,"SF"
1,26,1587698640,"GB","LoveJo03","Jordan Love","J.Love",1,26,"GB",6885,0.0594728310168252,33965,0.091212551,0.104027848,-83.8543627329192,838,26,1,610,6275,0.48248498349835,0.0183192968373736,1,142,40306,"QB",4,0.24,36.2,73,18.25,8.52,2021,2020,"GB",1,26,27.04,160.5873333,-133.5473333,"GB"
1,27,1587699240,"SEA","BrooJo01","Jordyn Brooks","J.Brooks",1,27,"SEA",4481,0.100938475376658,13602,0.036527988,0.106199573,72.7584269974092,462,27,1,58,4423,0.127491071428571,0.100599840583011,1,143,50851,"LB",14,0.88,47.6,367,26.21,41.65,2020,2020,"SEA",1,27,149.74,133.9081818,15.83181818,"SEA"
1,28,1587699720,"BAL","QueePa00","Patrick Queen","P.Queen",1,28,"BAL",3303,0.108882906764168,12762,0.034272179,0.109538109,118.904415526424,368,28,1,196,3107,0.108822564102564,0.108886718496923,1,200,57941,"LB",16,1,29.7,858,53.63,29.7,2020,2020,"BAL",1,28,143.2,133.9081818,9.291818182,"BAL"
1,29,1587700080,"TEN","WilsIs00","Isaiah Wilson","I.Wilson",1,29,"TEN",4927,0.105002651048089,4841,0.01300044,0.108463721,-515.629858058608,563,29,1,69,4858,0.116262686567164,0.104845446968118,1,98,59704,"OL",1,0.06,60,3,3,3.75,2020,2020,"TEN",1,29,3.75,161.5617857,-157.8117857,"TEN"
1,30,1587700680,"MIA","IgbiNo00","Noah Igbinoghene","N.Igbinoghene",1,30,"MIA",35196,0.160622031753336,14079,0.037808965,0.123932132,-361.1980028972,3677,30,1,101,35095,0.217729292929293,0.160458957570164,1,199,61155,"CB",10,0.63,37.1,286,28.6,23.19,2020,2020,"MIA",1,30,53.73,148.6714286,-94.94142857,"MIA"
1,31,1587614520,"MIN","GladJe00","Jeff Gladney","J.Gladney",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,50471,"CB",16,1,50.1,958,59.88,50.1,2020,2020,"MIN",1,31,50.1,148.6714286,-98.57142857,"MIN"
1,32,1587615000,"KC","EdwaCl00","Clyde Edwards-Helaire","C.Edwards-Helaire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,57279,"HB",13,0.81,75.3,217,16.69,61.18,2020,2020,"KC",1,32,138.76,173.7714286,-35.01142857,"KC"
2,33,1587770160,"CIN","HiggTe00","Tee Higgins","T.Higgins",2,33,"CIN",789,0.057348152866242,6597,0.017716155,0.145045598,285.420521228312,74,33,2,106,683,0.113547619047619,0.0486702941176471,1,220,61211,"WR",16,1,75.9,527,32.94,75.9,2020,2020,"CIN",2,33,218.05,162.5115789,55.53842105,"CIN"
2,34,1587770340,"IND","PittMi01","Michael Pittman Jr.","M.Jr.",2,34,"IND",1511,0.108947176079734,9313,0.025009936,0.130396679,46.863755118076,150,34,2,119,1392,0.123382203389831,0.107719105984138,1,193,29049,"WR",13,0.81,62.6,385,29.62,50.86,2020,2020,"IND",2,34,195.31,162.5115789,32.79842105,"IND"
2,35,1587770640,"DET","SwifDA00","D'Andre Swift","D.Swift",2,35,"DET",2529,0.11514371257485,14503,0.038947612,0.124482496,-160.354850014365,214,35,2,231,2298,0.189061333333333,0.107849210526316,1,60,57212,"HB",13,0.81,69.4,160,12.31,56.39,2020,2020,"DET",2,35,165.06,156.4633333,8.596666667,"DET"
2,36,1587771060,"NYG","McKiXa00","Xavier McKinney","X.McKinney",2,36,"NYG",718,0.0827165963431786,12490,0.033541727,0.126600401,-67.1940311004784,72,36,2,26,692,0.0634269230769231,0.0834487591240876,1,239,55775,"S",6,0.38,70,211,35.17,26.25,2020,2020,"NYG",2,36,132.25,125.2286364,7.021363636,"NYG"
2,37,1587771180,"NE","DuggKy00","Kyle Dugger","K.Dugger",2,37,"NE",972,0.106978445595855,18402,0.049418324,0.096257174,-139.742911266683,85,37,2,22,950,-0.067852380952381,0.110867690677966,1,172,90621,"S",14,0.88,64.1,520,37.14,56.09,2020,2020,"NE",2,37,188.62,125.2286364,63.39136364,"NE"
2,38,1587771300,"CAR","GrosYe00","Yetur Gross-Matos","Y.Gross-Matos",2,38,"CAR",3504,0.044632140796307,6452,0.017326759,0.12620506,-12.5775090935896,317,38,2,14,3490,0.0555769230769231,0.0445909354184767,1,240,56444,"ED",12,0.75,54.7,377,31.42,41.03,2020,2020,"CAR",2,38,144.77,119.8536842,24.91631579,"CAR"
2,39,1587771780,"MIA","HuntRo01","Robert Hunt","R.Hunt",2,39,"MIA",757,0.11808828229028,14079,0.037808965,0.123932132,-361.1980028972,66,39,2,28,729,0.189992857142857,0.115303596127248,1,207,46139,"OL",16,1,66,722,45.13,66,2020,2020,"MIA",2,39,207.1,149.0159259,58.08407407,"MIA"
2,40,1587771900,"HOU","BlacRo00","Ross Blacklock","R.Blacklock",2,40,"HOU",1134,0.0965750223015165,5066,0.013604675,0.09754653,-7.01889102564104,83,40,2,46,1088,0.0544978260869565,0.0983755348837209,1,209,44526,"DI",15,0.94,30.2,254,16.93,28.31,2020,2020,"HOU",2,40,99.84,149.3153846,-49.47538462,"HOU"
2,41,1587772080,"IND","TaylJo02","Jonathan Taylor","J.Taylor",2,41,"IND",3186,0.11920022172949,9313,0.025009936,0.130396679,46.863755118076,259,41,2,181,3005,0.171611235955056,0.116068580060423,1,135,57488,"HB",15,0.94,83.9,268,17.87,78.66,2020,2020,"IND",2,41,209.5,156.4633333,53.03666667,"IND"
2,42,1587772560,"JAX","ShenLa00","Laviska Shenault Jr.","L.Jr.",2,42,"JAX",1745,0.00846564310544612,6713,0.018027671,0.117975776,-74.4143932140196,173,42,2,48,1697,0.019195652173913,0.00817184523809524,1,178,61220,"WR",14,0.88,71.5,392,28,62.56,2020,2020,"JAX",2,42,182.51,162.5115789,19.99842105,"JAX"
2,43,1587772800,"CHI","KmetCo00","Cole Kmet","C.Kmet",2,43,"CHI",2642,0.0758609523809524,12731,0.034188929,0.117120924,16.7361562881563,231,43,2,107,2535,0.0988943925233645,0.0748821683876092,1,55,60995,"TE",16,1,58.7,326,20.38,58.7,2020,2020,"CHI",2,43,189.7,152.885,36.815,"CHI"
2,44,1587773160,"CLE","DelpGr00","Grant Delpit","G.Delpit",2,44,"CLE",1116,0.0723042649727768,12133,0.032583008,0.112528068,NA,108,44,2,71,1045,0.00160571428571429,0.0770997093023256,1,89,60685,"S",15,0.88,63.3,599,39.93,55.85,2021,2020,"CLV",2,44,119.45,125.2286364,-5.778636364,"CLV"
2,45,1587773340,"TB","WinfAn00","Antoine Winfield Jr.","A.Jr.",2,45,"TB",1226,0.123924590163934,5184,0.013921562,0.114079188,-127.933923367912,94,45,2,74,1152,0.102582432432432,0.125302705061082,1,14,42475,"S",16,1,67.1,1034,64.63,67.1,2020,2020,"TB",2,45,192.43,125.2286364,67.20136364,"TB"
2,46,1587773520,"DEN","HamlKJ00","KJ Hamler","K.Hamler",2,46,"DEN",2863,0.114058444757213,10740,0.028842126,0.129802805,-187.268660664202,220,46,2,71,2792,-0.00395352112676056,0.117082208588957,1,170,61590,"WR",13,0.81,55.9,351,27,45.42,2020,2020,"DEN",2,46,80.64,162.5115789,-81.87157895,"DEN"
2,47,1587773880,"ATL","DaviMa01","Marlon Davidson","M.Davidson",2,47,"ATL",1383,0.0934876732312181,7940,0.021322763,0.078852919,-105.564194139194,122,47,2,19,1364,0.178441176470588,0.0924210487444609,1,187,48741,"DI",8,0.5,58.1,132,16.5,29.05,2020,2020,"ATL",2,47,64.7,149.3153846,-84.61538462,"ATL"
2,48,1587774060,"SEA","TaylDa00","Darrell Taylor","D.Taylor",2,48,"SEA",2134,0.111815894039735,13602,0.036527988,0.106199573,72.7584269974092,171,48,2,38,2096,0.255130555555556,0.109333060635226,1,69,36001,"ED",16,0.94,57.6,545,34.06,54.21,2021,2020,"SEA",2,48,108.8,119.8536842,-11.05368421,"SEA"
2,49,1587774360,"PIT","ClayCh01","Chase Claypool","C.Claypool",2,49,"PIT",1382,0.110345507669832,7495,0.020127722,0.12302311,40.7249343127633,129,49,2,76,1306,0.125594736842105,0.109449187935035,1,47,42312,"WR",16,1,75.6,474,29.63,75.6,2020,2020,"PIT",2,49,189.87,162.5115789,27.35842105,"PIT"
2,50,1587774540,"CHI","JohnJa13","Jaylon Johnson","J.Johnson",2,50,"CHI",2975,0.118383372921615,12731,0.034188929,0.117120924,16.7361562881563,230,50,2,88,2887,0.239926136363636,0.114642287513116,1,117,56259,"CB",13,0.81,54.9,867,66.69,44.61,2020,2020,"CHI",2,50,141.96,108.3988462,33.56115385,"CHI"
2,51,1587774960,"DAL","DiggTr00","Trevon Diggs","T.Diggs",2,51,"DAL",1269,0.0641170246618934,13812,0.03709194,0.111480222,34.4176474358975,119,51,2,66,1203,0.0603953846153846,0.064319966442953,1,224,41817,"CB",12,0.75,62.7,758,63.17,47.03,2020,2020,"DAL",2,51,170.02,108.3988462,61.62115385,"DAL"
2,52,1587775140,"LA","AkerCa00","Cam Akers","C.Akers",2,52,"LA",1063,0.0600396226415094,3476,0.009334751,0.13010574,NA,103,52,2,52,1011,0.144405769230769,0.0556874007936508,1,34,57206,"HB",13,0.81,68.4,156,12,55.58,2020,2020,"LAR",2,52,129.8,156.4633333,-26.66333333,"LAR"
2,53,1587775260,"PHI","HurtJa00","Jalen Hurts","J.Hurts",2,53,"PHI",3568,0.00460932466798531,35223,0.094590893,0.058375155,0.979119876898174,388,53,2,329,3239,-0.20079756097561,0.0255914045468701,1,107,40291,"QB",10,0.63,56.2,197,19.7,35.13,2020,2020,"PHI",2,53,182.21,72.215,109.995,"PHI"
2,54,1587775620,"BUF","EpenAJ00","A.J. Epenesa","A.Epenesa",2,54,"BUF",3628,0.0620416157690172,7532,0.020227085,0.117431424,243.938085741026,372,54,2,104,3524,0.120579807692308,0.0603012006861063,1,1,56369,"ED",14,0.88,64.7,291,20.79,56.61,2020,2020,"BUF",2,54,158.77,119.8536842,38.91631579,"BUF"
2,55,1587776040,"BAL","DobbJK00","J.K. Dobbins","J.Dobbins",2,55,"BAL",1557,0.060415329419439,12762,0.034272179,0.109538109,118.904415526424,148,55,2,76,1481,0.0633039473684211,0.0602646533973919,1,99,57366,"HB",15,0.94,71.5,152,10.13,67.03,2020,2020,"BAL",2,55,102.89,156.4633333,-53.57333333,"BAL"
2,56,1587776220,"MIA","DaviRa03","Raekwon Davis","R.Davis",2,56,"MIA",3199,0.0916748348537276,14079,0.037808965,0.123932132,-361.1980028972,300,56,2,60,3139,0.02285,0.0929988137223469,1,205,44582,"DI",16,1,71.1,538,33.63,71.1,2020,2020,"MIA",2,56,142.01,149.3153846,-7.305384615,"MIA"
2,57,1587776640,"LA","JeffVa00","Van Jefferson","V.Jefferson",2,57,"LA",839,0.0511177322074789,3476,0.009334751,0.13010574,NA,82,57,2,40,799,0.151894871794872,0.0461426582278481,1,237,47447,"WR",15,0.94,67.1,159,10.6,62.91,2020,2020,"LAR",2,57,166.97,162.5115789,4.458421053,"LAR"
2,58,1587776760,"MIN","ClevEz00","Ezra Cleveland","E.Cleveland",2,58,"MIN",3597,0.0861746000561325,21534,0.057829268,0.114465213,-107.72040452278,343,58,2,119,3478,0.0518839285714286,0.0872874818893074,1,86,41973,"OL",9,0.56,66.2,622,69.11,37.24,2020,2020,"MIN",2,58,179.34,149.0159259,30.32407407,"MIN"
2,59,1587777240,"NYJ","MimsDe00","Denzel Mims","D.Mims",2,59,"NYJ",1622,0.061157701863354,14679,0.039420257,0.113141363,-396.429360420281,192,59,2,125,1497,0.028490243902439,0.0638598520511096,1,75,47800,"WR",9,0.56,69.4,264,29.33,39.04,2020,2020,"NYJ",2,59,105.73,162.5115789,-56.78157895,"NYJ"
2,60,1587777420,"NE","UcheJo00","Josh Uche","J.Uche",2,60,"NE",2793,0.084255571583123,18402,0.049418324,0.096257174,-139.742911266683,266,60,2,121,2672,0.096791452991453,0.0837033509036145,1,145,27379,"ED",9,0.56,77.6,179,19.89,43.65,2020,2020,"NE",2,60,159.96,119.8536842,40.10631579,"NE"
2,61,1587777780,"TEN","FultKr00","Kristian Fulton","K.Fulton",2,61,"TEN",1322,0.0740421983089931,4841,0.01300044,0.108463721,-515.629858058608,125,61,2,53,1269,0.0536117647058824,0.07487576,1,171,42894,"CB",6,0.38,57.6,203,33.83,21.6,2020,2020,"TEN",2,61,113.43,108.3988462,5.031153846,"TEN"
2,62,1587777960,"GB","DillAJ00","AJ Dillon","A.Dillon",2,62,"GB",3061,0.0644821416803954,33965,0.091212551,0.104027848,-83.8543627329192,334,62,2,73,2988,0.0806178082191781,0.0640844699527346,1,3,57165,"HB",9,0.56,81.4,48,5.33,45.79,2020,2020,"GB",2,62,213.89,156.4633333,57.42666667,"GB"
2,63,1587778320,"KC","GayJWi00","Willie Gay Jr.","W.Jr.",2,63,"KC",2859,0.083076447740113,6595,0.017710784,0.130861524,42.8800783564262,271,63,2,114,2745,0.0513871559633028,0.0843449504223283,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,64,1587778680,"CAR","ChinJe00","Jeremy Chinn","J.Chinn",2,64,"CAR",829,0.104123422330097,6452,0.017326759,0.12620506,-12.5775090935896,84,64,2,30,799,0.05832,0.1058540302267,1,121,43179,"S",15,0.94,59,967,64.47,55.31,2020,2020,"CAR",2,64,158.03,125.2286364,32.80136364,"CAR"
3,65,1587778800,"CIN","WilsLo00","Logan Wilson","L.Wilson",3,65,"CIN",807,0.0887483709273183,6597,0.017716155,0.145045598,285.420521228312,70,65,3,30,777,0.168748275862069,0.0857314694408323,1,182,29623,"LB",12,0.75,54.7,343,28.58,41.03,2020,2020,"CIN",3,65,146.4,105.2694118,41.13058824,"CIN"
3,66,1587778920,"WAS","GibsAn00","Antonio Gibson","A.Gibson",3,66,"WAS",2206,0.106604200913242,7335,0.019698044,0.108911643,176.091673153899,188,66,3,39,2167,0.0879771428571429,0.106906728538283,1,16,78050,"HB",14,0.88,80.9,206,14.71,70.79,2020,2020,"WAS",3,66,197.69,149.23875,48.45125,"WAS"
3,67,1587779220,"DET","OkwaJu00","Julian Okwara","J.Okwara",3,67,"DET",1125,0.117055903398927,14503,0.038947612,0.124482496,-160.354850014365,108,67,3,39,1086,0.157991666666667,0.115693900184843,1,150,44152,"ED",6,0.38,35.5,69,11.5,13.31,2020,2020,"DET",3,67,92.55,117.7219231,-25.17192308,"DET"
3,68,1587779400,"NYJ","DaviAs00","Ashtyn Davis","A.Davis",3,68,"NYJ",834,0.131468599033816,14679,0.039420257,0.113141363,-396.429360420281,105,68,3,23,811,0.246172727272727,0.128337717121588,1,18,49560,"S",8,0.5,53,402,50.25,26.5,2020,2020,"NYJ",3,68,90.67,132.52,-41.85,"NYJ"
3,69,1587779520,"SEA","LewiDa05","Damien Lewis","D.Lewis",3,69,"SEA",2437,0.148372512437811,13602,0.036527988,0.106199573,72.7584269974092,195,69,3,50,2387,0.136081632653061,0.148627380448582,1,62,81532,"OL",16,1,70.2,967,60.44,70.2,2020,2020,"SEA",3,69,181.44,101.7233333,79.71666667,"SEA"
3,70,1587779880,"MIA","JoneBr06","Brandon Jones","B.Jones",3,70,"MIA",704,0.150004285714286,14079,0.037808965,0.123932132,-361.1980028972,54,70,3,41,663,0.0985875,0.153120454545455,1,27,43049,"S",16,1,60.8,385,24.06,60.8,2020,2020,"MIA",3,70,133.08,132.52,0.56,"MIA"
3,71,1587780000,"BAL","MaduJu00","Justin Madubuike","J.Madubuike",3,71,"BAL",733,0.121264325068871,12762,0.034272179,0.109538109,118.904415526424,55,71,3,10,723,0.137033333333333,0.121066387726639,1,154,44304,"DI",10,0.63,72.1,259,25.9,45.06,2020,2020,"BAL",3,71,158.6,118.0138462,40.58615385,"BAL"
3,72,1587780120,"ARI","JoneJo07","Josh Jones","J.Jones",3,72,"ARI",2936,0.105459301521438,5532,0.014856112,0.138027594,-17.0626369047619,296,72,3,146,2790,0.0987551724137931,0.105813178012377,1,83,26634,"OL",9,0.56,43,54,6,24.19,2020,2020,"ARI",3,72,126.1,101.7233333,24.37666667,"ARI"
3,73,1587780600,"JAX","HamiDa02","DaVon Hamilton","D.Hamilton",3,73,"JAX",754,0.0997556,6713,0.018027671,0.117975776,-74.4143932140196,58,73,3,5,749,-0.08555,0.100749195710456,1,72,28072,"DI",11,0.69,53.9,408,37.09,37.06,2020,2020,"JAX",3,73,161.65,118.0138462,43.63615385,"JAX"
3,74,1587780720,"NO","BaunZa00","Zack Baun","Z.Baun",3,74,"NO",1074,0.0884481167608286,6684,0.017949792,0.102622322,-20.479768907563,111,74,3,78,996,0.0990961538461538,0.0876040650406504,1,241,34632,"LB",12,0.75,62,82,6.83,46.5,2020,2020,"NO",3,74,90.86,105.2694118,-14.40941176,"NO"
3,75,1587780900,"DET","JackJo03","Jonah Jackson","J.Jackson",3,75,"DET",682,0.126433677991137,14503,0.038947612,0.124482496,-160.354850014365,60,75,3,9,673,-0.136225,0.129574588938715,1,130,37070,"OL",16,1,57,1006,62.88,57,2020,2020,"DET",3,75,172.77,101.7233333,71.04666667,"DET"
3,76,1587781020,"TB","VaugKe00","Ke'Shawn Vaughn","K.Vaughn",3,76,"TB",1722,0.127150942285041,5184,0.013921562,0.114079188,-127.933923367912,164,76,3,15,1707,0.185114285714286,0.12666906175772,1,162,45866,"HB",7,0.44,59.9,31,4.43,26.21,2020,2020,"TB",3,76,68.03,149.23875,-81.20875,"TB"
3,77,1587781320,"DEN","OjemMi00","Michael Ojemudia","M.Ojemudia",3,77,"DEN",2506,0.127968737394111,10740,0.028842126,0.129802805,-187.268660664202,237,77,3,10,2496,0.134666666666667,0.127944331983806,1,192,50327,"CB",14,0.88,48.7,852,60.86,42.61,2020,2020,"DEN",3,77,58.81,103.0045,-44.1945,"DEN"
3,78,1587780900,"ATL","HennMa00","Matt Hennessy","M.Hennessy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188,41141,"OL",9,0.56,47,225,25,26.44,2020,2020,"ATL",3,78,116.15,101.7233333,14.42666667,"ATL"
