"player","player_id","position","player_game_count","percentage_games_played","grades_offense","raw_usage","usage_rate","raw_value_provided","year","draft_year","draft_team","draft_round","draft_pick","sum_raw_value_provided","expected_value","value_delta","team_name"
"Matt Hennessy",41141,"OL",9,0.56,47,225,25,26.44,2020,2020,"ATL",3,78,116.15,101.723333333333,14.4266666666667,"ATL"
"Matt Peart",46179,"OL",11,0.69,69.7,150,13.64,47.92,2020,2020,"NYG",3,99,103.15,101.723333333333,1.42666666666668,"NYG"
"McTelvin Agim",43069,"DI",10,0.63,47.1,141,14.1,29.44,2020,2020,"DEN",3,95,47.31,118.013846153846,-70.7038461538461,"DEN"
"Mekhi Becton",59818,"OL",14,0.88,74.4,691,49.36,65.1,2020,2020,"NYJ",1,11,69.06,161.561785714286,-92.5017857142857,"NYJ"
"Michael Ojemudia",50327,"CB",14,0.88,48.7,852,60.86,42.61,2020,2020,"DEN",3,77,58.81,103.0045,-44.1945,"DEN"
"Michael Pittman Jr.",29049,"WR",13,0.81,62.6,385,29.62,50.86,2020,2020,"IND",2,34,195.31,162.511578947368,32.7984210526316,"IND"
"Samuel Sloman",44982,"K",8,0.5,52.6,39,4.88,26.3,2020,2020,"LAR",7,248,26.3,188.606666666667,-162.306666666667,"TEN"
"Mykal Walker",57834,"LB",16,1,74,387,24.19,74,2020,2020,"ATL",4,119,196.36,124.31,72.05,"ATL"
"Netane Muti",41339,"OL",2,0.13,37.1,122,61,4.64,2020,2020,"DEN",6,181,36.18,53.2691304347826,-17.0891304347826,"DEN"
"Neville Gallimore",28094,"DI",14,0.88,52.1,416,29.71,45.59,2020,2020,"DAL",3,82,94.63,118.013846153846,-23.3838461538461,"DAL"
"Nick Harris",46752,"OL",2,0.13,51.3,143,71.5,6.41,2020,2020,"CLV",5,160,10.53,75.922380952381,-65.392380952381,"CLV"
"Noah Igbinoghene",61155,"CB",10,0.63,37.1,286,28.6,23.19,2020,2020,"MIA",1,30,53.73,148.671428571429,-94.9414285714286,"MIA"
"Patrick Queen",57941,"LB",16,1,29.7,858,53.63,29.7,2020,2020,"BAL",1,28,143.2,133.908181818182,9.29181818181817,"BAL"
"Prince Tega Wanogho",44820,"OL",2,0.12,58.5,6,3,6.88,2021,2020,"PHI",6,210,31.02,53.2691304347826,-22.2491304347826,"KC"
"Quez Watkins",61664,"WR",6,0.38,61.1,83,13.83,22.91,2020,2020,"PHI",6,200,148.51,67.7133333333333,80.7966666666667,"PHI"
"Kenny Robinson",60789,"S",2,0.13,60,6,3,7.5,2020,2020,"CAR",5,152,32.29,67.2618181818182,-34.9718181818182,"CAR"
"Quintez Cephus",29614,"WR",13,0.81,64.8,231,17.77,52.65,2020,2020,"DET",5,166,89.74,122.469333333333,-32.7293333333333,"DET"
"Raekwon Davis",44582,"DI",16,1,71.1,538,33.63,71.1,2020,2020,"MIA",2,56,142.01,149.315384615385,-7.30538461538464,"MIA"
"Rashard Lawrence",44515,"DI",9,0.56,47.8,166,18.44,26.89,2020,2020,"ARI",4,131,86.31,113.889,-27.579,"ARI"
"Robert Hunt",46139,"OL",16,1,66,722,45.13,66,2020,2020,"MIA",2,39,207.1,149.015925925926,58.0840740740741,"MIA"
"Robert Windsor",28310,"DI",2,0.13,36.3,9,4.5,4.54,2020,2020,"IND",6,193,4.54,94.0264705882353,-89.4864705882353,"IND"
"Ross Blacklock",44526,"DI",15,0.94,30.2,254,16.93,28.31,2020,2020,"HOU",2,40,99.84,149.315384615385,-49.4753846153846,"HOU"
"Saahdiq Charles",59820,"OL",1,0.06,60,2,2,3.75,2020,2020,"WAS",4,108,50.95,71.4645833333333,-20.5145833333333,"WAS"
"Shane Lemieux",28149,"OL",11,0.69,32.2,504,45.82,22.14,2020,2020,"NYG",5,150,27.93,75.922380952381,-47.992380952381,"NYG"
"Shaquille Quarterman",51048,"LB",10,0.59,62.9,144,14.4,37,2021,2020,"JAX",4,140,47.64,124.31,-76.67,"JAX"
"Shaun Bradley",42632,"LB",10,0.63,66.9,77,7.7,41.81,2020,2020,"PHI",6,196,65.82,61.961875,3.85812500000001,"PHI"
"Solomon Kindley",41471,"OL",13,0.81,51.3,748,57.54,41.68,2020,2020,"MIA",4,111,51.83,71.4645833333333,-19.6345833333333,"MIA"
"Stephen Sullivan",40411,"TE",3,0.18,43,29,9.67,7.59,2021,2020,"SEA",7,251,49.76,62.88,-13.12,"CAR"
"Sterling Hofrichter",33541,"P",16,1,70.2,56,3.5,70.2,2020,2020,"ATL",7,228,77.2,179.62,-102.42,"ATL"
"T.J. Brunson",44198,"LB",1,0.06,58.5,2,2,3.66,2020,2020,"NYG",7,238,3.66,47.888947368421,-44.228947368421,"NYG"
"Tae Crowder",35774,"LB",10,0.63,36.4,403,40.3,22.75,2020,2020,"NYG",7,255,72.74,47.888947368421,24.851052631579,"NYG"
