"round","pick","timestamp","team","playerid","full_name","name"
3,84,1587782820,"LA","LewiTe00","Terrell Lewis","T.Lewis"
3,85,1587782940,"IND","BlacJu01","Julian Blackmon","J.Blackmon"
3,86,1587783120,"BUF","MossZa00","Zack Moss","Z.Moss"
3,87,1587783300,"NE","JennAn00","Anfernee Jennings","A.Jennings"
3,88,1587783840,"CLE","ElliJo02","Jordan Elliott","J.Elliott"
3,89,1587783960,"MIN","DantCa00","Cameron Dantzler","C.Dantzler"
3,90,1587784080,"HOU","GreeJo04","Jonathan Greenard","J.Greenard"
3,91,1587784200,"NE","AsiaDe00","Devin Asiasi","D.Asiasi"
3,92,1587784500,"BAL","DuveDe00","Devin Duvernay","D.Duvernay"
3,93,1587784980,"TEN","EvanDa02","Darrynton Evans","D.Evans"
3,94,1587785100,"GB","DeguJo00","Josiah Deguara","J.Deguara"
3,95,1587785400,"DEN","AgimMc00","McTelvin Agim","M.Agim"
3,96,1587785520,"KC","NianLu00","Lucas Niang","L.Niang"
3,97,1587785640,"CLE","PhilJa01","Jacob Phillips","J.Phillips"
3,98,1587785880,"BAL","HarrMa06","Malik Harrison","M.Harrison"
3,99,1587786000,"NYG","PearMa00","Matt Peart","M.Peart"
3,100,1587786120,"LV","MuseTa00","Tanner Muse","T.Muse"
3,101,1587786480,"NE","KeenDa00","Dalton Keene","D.Keene"
3,102,1587786660,"PIT","HighAl02","Alex Highsmith","A.Highsmith"
3,103,1587786720,"PHI","TaylDa01","Davion Taylor","D.Taylor"
3,104,1587786840,"LA","BurgTe00","Terrell Burgess","T.Burgess"
3,105,1587786960,"NO","TrauAd00","Adam Trautman","A.Trautman"
3,106,1587787080,"BAL","PhilTy00","Tyre Phillips","T.Phillips"
4,107,1587830940,"CIN","DaviAk01","Akeem Davis-Gaither","A.Davis-Gaither"
4,108,1587831180,"WAS","CharSa00","Saahdiq Charles","S.Charles"
4,109,1587831360,"LV","SimpJo00","John Simpson","J.Simpson"
4,110,1587831720,"NYG","HolmDa01","Darnay Holmes","D.Holmes"
4,111,1587831840,"MIA","KindSo00","Solomon Kindley","S.Kindley"
4,112,1587831900,"LAC","KellJo01","Joshua Kelley","J.Kelley"
4,113,1587832080,"CAR","PridTr00","Troy Pride Jr.","T.Jr."
4,114,1587832200,"ARI","FotuLe00","Leki Fotu","L.Fotu"
4,115,1587832260,"CLE","BryaHa00","Harrison Bryant","H.Bryant"
4,116,1587832440,"JAX","BartBe00","Ben Bartch","B.Bartch"
4,117,1587832680,"MIN","WonnDJ00","D.J. Wonnum","D.Wonnum"
4,118,1587832740,"DEN","OkwuAl00","Albert Okwuegbunam","A.Okwuegbunam"
4,119,1587832920,"ATL","WalkMy00","Mykal Walker","M.Walker"
4,120,1587833160,"NYJ","PeriLa00","La'Mical Perine","L.Perine"
4,121,1587833280,"DET","StenLo00","Logan Stenberg","L.Stenberg"
4,122,1587833580,"IND","EasoJa00","Jacob Eason","J.Eason"
4,123,1587833760,"DAL","RobiRe00","Reggie Robinson II","R.II"
4,124,1587834000,"PIT","McFaAn00","Anthony McFarland Jr.","A.Jr."
4,125,1587834240,"NYJ","MorgJa00","James Morgan","J.Morgan"
4,126,1587834540,"HOU","HeckCh00","Charlie Heck","C.Heck"
4,127,1587834720,"PHI","WallKV00","K'Von Wallace","K.Wallace"
4,128,1587834900,"BUF","DaviGa01","Gabriel Davis","G.Davis"
4,129,1587835140,"NYJ","ClarCa00","Cameron Clark","C.Clark"
4,130,1587835260,"MIN","LyncJa00","James Lynch","J.Lynch"
4,131,1587835440,"ARI","LawrRa01","Rashard Lawrence","R.Lawrence"
4,132,1587835560,"MIN","DyexTr00","Troy Dye","T.Dye"
4,133,1587835680,"SEA","ParkCo02","Colby Parkinson","C.Parkinson"
4,134,1587835980,"ATL","HawkJa00","Jaylinn Hawkins","J.Hawkins"
4,135,1587836040,"PIT","DotsKe00","Kevin Dotson","K.Dotson"
4,136,1587836280,"LA","HopkBr01","Brycen Hopkins","B.Hopkins"
4,137,1587836460,"JAX","ScotJo00","Josiah Scott","J.Scott"
4,138,1587836700,"KC","SneeLJ00","L'Jarius Sneed","L.Sneed"
4,139,1587836820,"LV","RobeAm00","Amik Robertson","A.Robertson"
4,140,1587836940,"JAX","QuarSh00","Shaquille Quarterman","S.Quarterman"
4,141,1587837060,"HOU","ReidJo00","John Reid","J.Reid"
4,142,1587837240,"WAS","GandAn00","Antonio Gandy-Golden","A.Gandy-Golden"
4,143,1587837480,"BAL","BredBe00","Ben Bredeson","B.Bredeson"
4,144,1587837540,"SEA","DallDe00","DeeJay Dallas","D.Dallas"
4,145,1587837960,"PHI","DrisJa00","Jack Driscoll","J.Driscoll"
4,146,1587838140,"DAL","BiadTy00","Tyler Biadasz","T.Biadasz"
5,147,1587838320,"CIN","KareKh00","Khalid Kareem","K.Kareem"
5,148,1587838380,"SEA","RobiAl03","Alton Robinson","A.Robinson"
5,149,1587838500,"IND","PintDa00","Danny Pinter","D.Pinter"
5,150,1587838740,"NYG","LemiSh00","Shane Lemieux","S.Lemieux"
5,151,1587838800,"LAC","ReedJo03","Joe Reed","J.Reed"
5,152,1587838920,"CAR","RobiKe02","Kenny Robinson Jr.","K.Jr."
5,153,1587839220,"SF","McKiCo00","Colton McKivitz","C.McKivitz"
5,154,1587839400,"MIA","StroJa02","Jason Strowbridge","J.Strowbridge"
5,155,1587839580,"CHI","GipsTr00","Trevis Gipson","T.Gipson"
5,156,1587839700,"WAS","IsmaKe00","Keith Ismael","K.Ismael"
5,157,1587839880,"JAX","ThomDa07","Daniel Thomas","D.Thomas"
5,158,1587840120,"NYJ","HallBr02","Bryce Hall","B.Hall"
5,159,1587840300,"NE","RohrJu00","Justin Rohrwasser","J.Rohrwasser"
5,160,1587840360,"CLE","HarrNi01","Nick Harris","N.Harris"
5,161,1587840480,"TB","JohnTy00","Tyler Johnson","T.Johnson"
5,162,1587840660,"WAS","HudsKh00","Khaleke Hudson","K.Hudson"
5,163,1587840900,"CHI","VildKi00","Kindle Vildor","K.Vildor"
5,164,1587841080,"MIA","WeavCu00","Curtis Weaver","C.Weaver"
5,165,1587841200,"JAX","JohnCo01","Collin Johnson","C.Johnson"
5,166,1587841320,"DET","CephQu00","Quintez Cephus","Q.Cephus"
5,167,1587841560,"BUF","FromJa00","Jake Fromm","J.Fromm"
5,168,1587841800,"PHI","HighJo00","John Hightower","J.Hightower"
5,169,1587841980,"MIN","HandHa00","Harrison Hand","H.Hand"
5,170,1587842220,"BAL","WashBr01","Broderick Washington Jr.","B.Jr."
5,171,1587842400,"HOU","CoulIs00","Isaiah Coulter","I.Coulter"
5,172,1587842580,"DET","HuntJa01","Jason Huntley","J.Huntley"
5,173,1587842760,"CHI","MoonDa00","Darnell Mooney","D.Mooney"
5,174,1587842880,"TEN","MurcLa00","Larrell Murchison","L.Murchison"
5,175,1587843000,"GB","MartKa01","Kamal Martin","K.Martin"
5,176,1587843180,"MIN","OsboKJ00","K.J. Osborn","K.Osborn"
5,177,1587843420,"KC","DannMi00","Michael Danna","M.Danna"
5,178,1587843540,"DEN","StrnJu00","Justin Strnad","J.Strnad"
5,179,1587843660,"DAL","AnaeBr00","Bradlee Anae","B.Anae"
6,180,1587843720,"CIN","AdenHa00","Hakeem Adeniji","H.Adeniji"
6,181,1587843900,"DEN","MutiNe00","Netane Muti","N.Muti"
6,182,1587844020,"NE","OnweMi00","Michael Onwenu","M.Onwenu"
6,183,1587844140,"NYG","BrowCa01","Cam Brown","C.Brown"
6,184,1587844320,"CAR","RoyxBr00","Bravvion Roy","B.Roy"
6,185,1587844380,"MIA","FergBl00","Blake Ferguson","B.Ferguson"
6,186,1587844620,"LAC","GilmAl00","Alohi Gilman","A.Gilman"
6,187,1587844800,"CLE","PeopDo00","Donovan Peoples-Jones","D.Peoples-Jones"
6,188,1587845040,"BUF","BassTy00","Tyler Bass","T.Bass"
6,189,1587845220,"JAX","LutoJa00","Jake Luton","J.Luton"
6,190,1587845460,"SF","WoerCh00","Charlie Woerner","C.Woerner"
6,191,1587845760,"NYJ","MannBr01","Braden Mann","B.Mann"
6,192,1587845880,"GB","RunyJo00","Jon Runyan","J.Runyan"
6,193,1587846000,"IND","WindRo01","Robert Windsor","R.Windsor"
6,194,1587846120,"TB","DaviKh00","Khalil Davis","K.Davis"
6,195,1587846240,"NE","HerrJu00","Justin Herron","J.Herron"
6,196,1587846360,"PHI","BradSh00","Shaun Bradley","S.Bradley"
6,197,1587846480,"DET","PeniJo00","John Penisini","J.Penisini"
6,198,1587846600,"PIT","BrooAn00","Antoine Brooks Jr.","A.Jr."
6,199,1587846780,"LA","FullJo01","Jordan Fuller","J.Fuller"
6,200,1587847020,"PHI","WatkQu00","Quez Watkins","Q.Watkins"
6,201,1587847260,"BAL","ProcJa00","James Proche","J.Proche"
6,202,1587847500,"ARI","WeavEv00","Evan Weaver","E.Weaver"
6,203,1587847620,"MIN","BranBl00","Blake Brandel","B.Brandel"
6,204,1587847860,"NE","MaluCa00","Cassh Maluia","C.Maluia"
6,205,1587847980,"MIN","MeteJo00","Josh Metellus","J.Metellus"
6,206,1587848160,"JAX","DaviTy02","Tyler Davis","T.Davis"
6,207,1587848400,"BUF","HodgIs00","Isaiah Hodgins","I.Hodgins"
6,208,1587848460,"GB","HansJa00","Jake Hanson","J.Hanson"
6,209,1587848640,"GB","StepSi00","Simon Stepaniak","S.Stepaniak"
6,210,1587848880,"PHI","WanoTe00","Prince Tega Wanogho","P.Wanogho"
6,211,1587849060,"IND","RodgIs00","Isaiah Rodgers","I.Rodgers"
6,212,1587849300,"IND","PatmDe00","Dezmon Patmon","D.Patmon"
6,213,1587849480,"IND","GlasJo00","Jordan Glasgow","J.Glasgow"
6,214,1587849600,"SEA","SwaiFr00","Freddie Swain","F.Swain"
7,215,1587849720,"CIN","BailMa01","Markus Bailey","M.Bailey"
7,216,1587849840,"WAS","CurlKa00","Kamren Curl","K.Curl"
7,217,1587850020,"SF","JennJa00","Jauan Jennings","J.Jennings"
7,218,1587850200,"NYG","CougCa00","Carter Coughlin","C.Coughlin"
7,219,1587850260,"BAL","StonGe00","Geno Stone","G.Stone"
7,220,1587850440,"LAC","HillKJ00","K.J. Hill","K.Hill"
7,221,1587850560,"CAR","ThomSt00","Stantley Thomas-Oliver","S.Thomas-Oliver"
7,222,1587850680,"ARI","BenjEn00","Eno Benjamin","E.Benjamin"
7,223,1587850980,"JAX","ClayCh02","Chris Claybrooks","C.Claybrooks"
7,224,1587851100,"TEN","McDoCo00","Cole McDonald","C.McDonald"
7,225,1587851220,"MIN","WillKe06","Kenny Willekes","K.Willekes"
7,226,1587851340,"CHI","HambAr00","Arlington Hambright","A.Hambright"
7,227,1587851460,"CHI","SimmLa00","Lachavious Simmons","L.Simmons"
7,228,1587851580,"ATL","HofrSt00","Sterling Hofrichter","S.Hofrichter"
7,229,1587851760,"WAS","SmitJa08","James Smith-Williams","J.Smith-Williams"
7,230,1587851940,"NE","WoodDu01","Dustin Woodard","D.Woodard"
7,231,1587852060,"DAL","DiNuBe00","Ben DiNucci","B.DiNucci"
7,232,1587852180,"PIT","DaviCa03","Carlos Davis","C.Davis"
7,233,1587852360,"PHI","ToohCa00","Casey Toohill","C.Toohill"
7,234,1587852480,"LA","JohnCl00","Clay Johnston","C.Johnston"
7,235,1587852660,"DET","CornJa01","Jashon Cornell","J.Cornell"
7,236,1587852720,"GB","ScotVe00","Vernon Scott","V.Scott"
7,237,1587852900,"KC","KeyeTh00","Thakarius Keyes","T.Keyes"
7,238,1587853020,"NYG","BrunTJ00","T.J. Brunson","T.Brunson"
7,239,1587853140,"BUF","JackDa02","Dane Jackson","D.Jackson"
7,240,1587853260,"NO","StevTo01","Tommy Stevens","T.Stevens"
7,241,1587853440,"TB","RussCh00","Chapelle Russell","C.Russell"
7,242,1587853680,"GB","GarvJo00","Jonathan Garvin","J.Garvin"
7,243,1587853740,"TEN","JackCh01","Chris Jackson","C.Jackson"
7,244,1587853800,"MIN","StanNa00","Nate Stanley","N.Stanley"
7,245,1587853980,"TB","CalaRa00","Raymond Calais","R.Calais"
7,246,1587854100,"MIA","PerrMa00","Malcolm Perry","M.Perry"
7,247,1587854160,"NYG","WillCh07","Chris Williamson","C.Williamson"
7,248,1587854460,"LA","SlomSa00","Sam Sloman","S.Sloman"
7,249,1587854520,"MIN","ColeBr01","Brian Cole II","B.II"
7,250,1587854760,"LA","AnchTr00","Tremayne Anchrum","T.Anchrum"
7,251,1587854940,"SEA","SullSt00","Stephen Sullivan","S.Sullivan"
7,252,1587855000,"DEN","ClevTy00","Tyrie Cleveland","T.Cleveland"
7,253,1587855060,"MIN","HintKy00","Kyle Hinton","K.Hinton"
7,254,1587855120,"DEN","TuszDe00","Derrek Tuszka","D.Tuszka"
7,255,1587855600,"NYG","CrowTa00","Tae Crowder","T.Crowder"
