round.x,pick.x,timestamp,team,playerid,full_name,name,associated_round,associated_pick,associated_team,count_text,mean_sentiment,comment_count,Team_Sentiment_Comment_Proportion,Team_Sentiment_Mean,offensive_word_count,pick.y,round.y,Direct_mentions,Indirect_mentions,avg_sentiment_direct_mentions,avg_sentiment_indirect_mentions,Direct_mention_binary
2,33,1587770160,CIN,HiggTe00,Tee Higgins,T.Higgins,2,33,CIN,789,0.057348153,6597,0.017716155,0.145045598,74,33,2,106,683,0.113547619,0.048670294,1
2,34,1587770340,IND,PittMi01,Michael Pittman Jr.,M.Jr.,2,34,IND,1511,0.108947176,9313,0.025009936,0.130396679,150,34,2,119,1392,0.123382203,0.107719106,1
2,35,1587770640,DET,SwifDA00,D'Andre Swift,D.Swift,2,35,DET,2529,0.115143713,14503,0.038947612,0.124482496,214,35,2,231,2298,0.189061333,0.107849211,1
2,36,1587771060,NYG,McKiXa00,Xavier McKinney,X.McKinney,2,36,NYG,718,0.082716596,12490,0.033541727,0.126600401,72,36,2,26,692,0.063426923,0.083448759,1
2,37,1587771180,NE,DuggKy00,Kyle Dugger,K.Dugger,2,37,NE,972,0.106978446,18402,0.049418324,0.096257174,85,37,2,22,950,-0.067852381,0.110867691,1
2,38,1587771300,CAR,GrosYe00,Yetur Gross-Matos,Y.Gross-Matos,2,38,CAR,3504,0.044632141,6452,0.017326759,0.12620506,317,38,2,14,3490,0.055576923,0.044590935,1
2,39,1587771780,MIA,HuntRo01,Robert Hunt,R.Hunt,2,39,MIA,757,0.118088282,14079,0.037808965,0.123932132,66,39,2,28,729,0.189992857,0.115303596,1
2,40,1587771900,HOU,BlacRo00,Ross Blacklock,R.Blacklock,2,40,HOU,1134,0.096575022,5066,0.013604675,0.09754653,83,40,2,46,1088,0.054497826,0.098375535,1
2,41,1587772080,IND,TaylJo02,Jonathan Taylor,J.Taylor,2,41,IND,3186,0.119200222,9313,0.025009936,0.130396679,259,41,2,181,3005,0.171611236,0.11606858,1
2,42,1587772560,JAX,ShenLa00,Laviska Shenault Jr.,L.Jr.,2,42,JAX,1745,0.008465643,6713,0.018027671,0.117975776,173,42,2,48,1697,0.019195652,0.008171845,1
2,43,1587772800,CHI,KmetCo00,Cole Kmet,C.Kmet,2,43,CHI,2642,0.075860952,12731,0.034188929,0.117120924,231,43,2,107,2535,0.098894393,0.074882168,1
2,44,1587773160,CLE,DelpGr00,Grant Delpit,G.Delpit,2,44,CLE,1116,0.072304265,12133,0.032583008,0.112528068,108,44,2,71,1045,0.001605714,0.077099709,1
2,45,1587773340,TB,WinfAn00,Antoine Winfield Jr.,A.Jr.,2,45,TB,1226,0.12392459,5184,0.013921562,0.114079188,94,45,2,74,1152,0.102582432,0.125302705,1
2,46,1587773520,DEN,HamlKJ00,KJ Hamler,K.Hamler,2,46,DEN,2863,0.114058445,10740,0.028842126,0.129802805,220,46,2,71,2792,-0.003953521,0.117082209,1
2,47,1587773880,ATL,DaviMa01,Marlon Davidson,M.Davidson,2,47,ATL,1383,0.093487673,7940,0.021322763,0.078852919,122,47,2,19,1364,0.178441176,0.092421049,1
2,48,1587774060,SEA,TaylDa00,Darrell Taylor,D.Taylor,2,48,SEA,2134,0.111815894,13602,0.036527988,0.106199573,171,48,2,38,2096,0.255130556,0.109333061,1
2,49,1587774360,PIT,ClayCh01,Chase Claypool,C.Claypool,2,49,PIT,1382,0.110345508,7495,0.020127722,0.12302311,129,49,2,76,1306,0.125594737,0.109449188,1
2,50,1587774540,CHI,JohnJa13,Jaylon Johnson,J.Johnson,2,50,CHI,2975,0.118383373,12731,0.034188929,0.117120924,230,50,2,88,2887,0.239926136,0.114642288,1
2,51,1587774960,DAL,DiggTr00,Trevon Diggs,T.Diggs,2,51,DAL,1269,0.064117025,13812,0.03709194,0.111480222,119,51,2,66,1203,0.060395385,0.064319966,1
2,52,1587775140,LA,AkerCa00,Cam Akers,C.Akers,2,52,LA,1063,0.060039623,3476,0.009334751,0.13010574,103,52,2,52,1011,0.144405769,0.055687401,1
2,53,1587775260,PHI,HurtJa00,Jalen Hurts,J.Hurts,2,53,PHI,3568,0.004609325,35223,0.094590893,0.058375155,388,53,2,329,3239,-0.200797561,0.025591405,1
2,54,1587775620,BUF,EpenAJ00,A.J. Epenesa,A.Epenesa,2,54,BUF,3628,0.062041616,7532,0.020227085,0.117431424,372,54,2,104,3524,0.120579808,0.060301201,1
2,55,1587776040,BAL,DobbJK00,J.K. Dobbins,J.Dobbins,2,55,BAL,1557,0.060415329,12762,0.034272179,0.109538109,148,55,2,76,1481,0.063303947,0.060264653,1
2,56,1587776220,MIA,DaviRa03,Raekwon Davis,R.Davis,2,56,MIA,3199,0.091674835,14079,0.037808965,0.123932132,300,56,2,60,3139,0.02285,0.092998814,1
2,57,1587776640,LA,JeffVa00,Van Jefferson,V.Jefferson,2,57,LA,839,0.051117732,3476,0.009334751,0.13010574,82,57,2,40,799,0.151894872,0.046142658,1
2,58,1587776760,MIN,ClevEz00,Ezra Cleveland,E.Cleveland,2,58,MIN,3597,0.0861746,21534,0.057829268,0.114465213,343,58,2,119,3478,0.051883929,0.087287482,1
2,59,1587777240,NYJ,MimsDe00,Denzel Mims,D.Mims,2,59,NYJ,1622,0.061157702,14679,0.039420257,0.113141363,192,59,2,125,1497,0.028490244,0.063859852,1
2,60,1587777420,NE,UcheJo00,Josh Uche,J.Uche,2,60,NE,2793,0.084255572,18402,0.049418324,0.096257174,266,60,2,121,2672,0.096791453,0.083703351,1
2,61,1587777780,TEN,FultKr00,Kristian Fulton,K.Fulton,2,61,TEN,1322,0.074042198,4841,0.01300044,0.108463721,125,61,2,53,1269,0.053611765,0.07487576,1
2,62,1587777960,GB,DillAJ00,AJ Dillon,A.Dillon,2,62,GB,3061,0.064482142,33965,0.091212551,0.104027848,334,62,2,73,2988,0.080617808,0.06408447,1
2,63,1587778320,KC,GayJWi00,Willie Gay Jr.,W.Jr.,2,63,KC,2859,0.083076448,6595,0.017710784,0.130861524,271,63,2,114,2745,0.051387156,0.08434495,1
2,64,1587778680,CAR,ChinJe00,Jeremy Chinn,J.Chinn,2,64,CAR,829,0.104123422,6452,0.017326759,0.12620506,84,64,2,30,799,0.05832,0.10585403,1
3,65,1587778800,CIN,WilsLo00,Logan Wilson,L.Wilson,3,65,CIN,807,0.088748371,6597,0.017716155,0.145045598,70,65,3,30,777,0.168748276,0.085731469,1
3,66,1587778920,WAS,GibsAn00,Antonio Gibson,A.Gibson,3,66,WAS,2206,0.106604201,7335,0.019698044,0.108911643,188,66,3,39,2167,0.087977143,0.106906729,1
3,67,1587779220,DET,OkwaJu00,Julian Okwara,J.Okwara,3,67,DET,1125,0.117055903,14503,0.038947612,0.124482496,108,67,3,39,1086,0.157991667,0.1156939,1
3,68,1587779400,NYJ,DaviAs00,Ashtyn Davis,A.Davis,3,68,NYJ,834,0.131468599,14679,0.039420257,0.113141363,105,68,3,23,811,0.246172727,0.128337717,1
3,69,1587779520,SEA,LewiDa05,Damien Lewis,D.Lewis,3,69,SEA,2437,0.148372512,13602,0.036527988,0.106199573,195,69,3,50,2387,0.136081633,0.14862738,1
3,70,1587779880,MIA,JoneBr06,Brandon Jones,B.Jones,3,70,MIA,704,0.150004286,14079,0.037808965,0.123932132,54,70,3,41,663,0.0985875,0.153120455,1
3,71,1587780000,BAL,MaduJu00,Justin Madubuike,J.Madubuike,3,71,BAL,733,0.121264325,12762,0.034272179,0.109538109,55,71,3,10,723,0.137033333,0.121066388,1
3,72,1587780120,ARI,JoneJo07,Josh Jones,J.Jones,3,72,ARI,2936,0.105459302,5532,0.014856112,0.138027594,296,72,3,146,2790,0.098755172,0.105813178,1
3,73,1587780600,JAX,HamiDa02,DaVon Hamilton,D.Hamilton,3,73,JAX,754,0.0997556,6713,0.018027671,0.117975776,58,73,3,5,749,-0.08555,0.100749196,1
3,74,1587780720,NO,BaunZa00,Zack Baun,Z.Baun,3,74,NO,1074,0.088448117,6684,0.017949792,0.102622322,111,74,3,78,996,0.099096154,0.087604065,1
3,75,1587780900,DET,JackJo03,Jonah Jackson,J.Jackson,3,75,DET,682,0.126433678,14503,0.038947612,0.124482496,60,75,3,9,673,-0.136225,0.129574589,1
3,76,1587781020,TB,VaugKe00,Ke'Shawn Vaughn,K.Vaughn,3,76,TB,1722,0.127150942,5184,0.013921562,0.114079188,164,76,3,15,1707,0.185114286,0.126669062,1
3,77,1587781320,DEN,OjemMi00,Michael Ojemudia,M.Ojemudia,3,77,DEN,2506,0.127968737,10740,0.028842126,0.129802805,237,77,3,10,2496,0.134666667,0.127944332,1
3,78,1587780900,ATL,HennMa00,Matt Hennessy,M.Hennessy,3,78,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,79,1587781800,NYJ,ZuniJa00,Jabari Zuniga,J.Zuniga,3,79,NYJ,926,0.13307709,14679,0.039420257,0.113141363,76,79,3,17,909,0.02626875,0.134965414,1
3,80,1587781980,LV,BowdLy00,Lynn Bowden Jr.,L.Jr.,3,80,LV,882,0.10540725,11083,0.029763248,0.107186085,79,80,3,36,846,0.049885714,0.10773729,1
3,81,1587782160,LV,EdwaBr01,Bryan Edwards,B.Edwards,3,81,LV,682,0.113360863,11083,0.029763248,0.107186085,58,81,3,18,664,0.026472222,0.115752294,1
3,82,1587782280,DAL,GallNe00,Neville Gallimore,N.Gallimore,3,82,DAL,2023,0.121863541,13812,0.03709194,0.111480222,175,82,3,40,1983,0.144735,0.121397964,1
3,83,1587782640,DEN,CushLl00,Lloyd Cushenberry III,L.III,3,83,DEN,909,0.124323145,10740,0.028842126,0.129802805,88,83,3,20,889,0.215525,0.122257418,1
3,84,1587782820,LA,LewiTe00,Terrell Lewis,T.Lewis,3,84,LA,630,0.116656619,3476,0.009334751,0.13010574,54,84,3,13,617,0.055661538,0.117948046,1
3,85,1587782940,IND,BlacJu01,Julian Blackmon,J.Blackmon,3,85,IND,874,0.144453341,9313,0.025009936,0.130396679,84,85,3,11,863,0.00649,0.146061305,1
